Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-0.3471,8.6575,0.0145,62.876,-1.5973,0.0139,0.0151,0.014,0.0149
A2,-0.173,7.8641,0.0144,101.095,-2.3668,0.014,0.0147,0.0141,0.0146
A3,0.0248,8.1424,0.0166,142.0103,-2.7087,0.0163,0.0169,0.0164,0.0168
A5,-0.192,7.0609,0.0132,62.1083,-2.4398,0.013,0.0135,0.013,0.0135
A6,-0.0803,7.038,0.0141,72.9586,-2.5617,0.0139,0.0144,0.0139,0.0143
A7,-1.2735,8.7157,0.0143,-58.2089,-1.9913,0.0139,0.0148,0.0139,0.0148
B1,0.1329,4.1423,0.0135,108.3246,-2.0549,0.0128,0.0143,0.0129,0.0141
B2,-0.0307,6.7804,0.0156,75.5791,-2.9494,0.0153,0.0158,0.0154,0.0158
B3,0.1566,7.5393,0.019,131.2125,-2.5207,0.0186,0.0193,0.0187,0.0192
B5,0.0431,7.1048,0.0172,76.2143,-2.6849,0.0169,0.0175,0.017,0.0174
B6,0.1822,6.5799,0.0169,115.8481,-2.4803,0.0165,0.0173,0.0166,0.0172
B7,0.1749,6.2136,0.0149,108.9542,-2.6509,0.0147,0.0152,0.0147,0.0152
C1,-2.9746,9.9886,0.0117,-236.9923,-1.8653,0.0109,0.0134,0.0112,0.0122
C2,-0.0363,6.2262,0.0122,103.8605,-2.698,0.012,0.0125,0.0121,0.0124
C3,0.051,5.6825,0.0116,112.989,-2.7255,0.0113,0.0118,0.0114,0.0117
C5,-0.0861,8.0757,0.0177,47.9853,-2.4044,0.0174,0.018,0.0174,0.018
C6,-0.342,7.172,0.0147,12.3691,-2.2256,0.0144,0.0151,0.0144,0.0151
C7,-0.0487,6.8913,0.0145,45.7729,-2.6629,0.0143,0.0148,0.0143,0.0147
D1,0.1954,6.502,0.0159,124.1592,-2.5353,0.0156,0.0162,0.0156,0.0161
D2,0.2572,6.9256,0.0172,85.1976,-2.4203,0.0168,0.0176,0.0169,0.0175
D3,0.2562,6.5388,0.0164,131.6605,-2.353,0.016,0.0168,0.0161,0.0167
D5,0.1173,7.144,0.0173,76.9034,-2.5781,0.017,0.0176,0.017,0.0175
D6,0.1495,5.4187,0.0143,108.5289,-2.7695,0.0141,0.0146,0.0141,0.0146
D7,0.2624,6.7473,0.0164,132.4327,-2.4374,0.0161,0.0168,0.0162,0.0167
E1,-0.2732,5.8702,0.0123,23.2315,-4.0338,0.0122,0.0123,0.0122,0.0123
E2,-0.0329,3.9512,0.01,65.5079,-3.924,0.0099,0.0101,0.0099,0.0101
E3,0.0613,6.6836,0.0175,80.5145,-2.8702,0.0172,0.0177,0.0173,0.0177
E5,0.1622,7.4041,0.0174,113.029,-2.5479,0.0171,0.0177,0.0171,0.0176
E6,-0.1179,5.5739,0.0141,29.0253,-3.0326,0.0138,0.0143,0.0139,0.0143
E7,0.085,7.4312,0.0164,96.0825,-2.7525,0.0162,0.0166,0.0162,0.0166
F1,-0.0664,7.0192,0.0136,98.874,-3.4158,0.0135,0.0138,0.0135,0.0137
F2,-0.1879,7.6467,0.0153,74.1114,-3.1079,0.0152,0.0155,0.0152,0.0155
F3,-0.1289,5.0883,0.0114,51.2367,-3.459,0.0113,0.0116,0.0113,0.0115
F5,-0.1708,6.5713,0.0109,57.4681,-2.8414,0.0107,0.0111,0.0108,0.011
F6,-0.3399,5.495,0.0089,21.439,-2.8,0.0088,0.0091,0.0088,0.0091
F7,-0.4358,7.9007,0.011,15.7998,-2.2884,0.0107,0.0113,0.0107,0.0112
