Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.1698,2.2509,0.0038,62.9818,-2.9449,0.0036,0.0039,0.0036,0.0039
A2,0.2351,2.2327,0.0041,101.2297,-3.6252,0.004,0.0042,0.004,0.0042
A3,0.2685,2.1333,0.0043,142.0745,-4.0472,0.0043,0.0044,0.0043,0.0044
A5,0.2362,2.0616,0.0039,62.1999,-3.6713,0.0038,0.0039,0.0038,0.0039
A6,0.2642,2.0196,0.0041,73.0314,-3.8092,0.004,0.0041,0.004,0.0041
A7,-0.0765,2.4149,0.004,-58.2715,-3.2739,0.0038,0.0041,0.0038,0.0041
B1,0.4407,1.6114,0.0052,108.3137,-2.9991,0.005,0.0055,0.005,0.0055
B2,0.2733,1.9121,0.0044,75.6275,-4.2157,0.0043,0.0045,0.0043,0.0044
B3,0.2833,1.8472,0.0046,131.1674,-3.927,0.0046,0.0047,0.0046,0.0047
B5,0.2723,1.8543,0.0045,76.232,-4.0286,0.0044,0.0046,0.0044,0.0045
B6,0.3157,1.7567,0.0045,115.9304,-3.8008,0.0044,0.0046,0.0044,0.0046
B7,0.33,1.7461,0.0042,108.9234,-3.9196,0.0041,0.0043,0.0041,0.0043
C1,-0.5595,2.8039,0.0033,-238.5406,-3.1385,0.0031,0.0037,0.0031,0.0034
C2,0.2864,1.8491,0.0036,103.9558,-3.9133,0.0036,0.0037,0.0036,0.0037
C3,0.3353,1.8127,0.0037,113.0161,-3.8682,0.0036,0.0038,0.0036,0.0037
C5,0.2261,1.9943,0.0044,48.1249,-3.8023,0.0043,0.0045,0.0043,0.0044
C6,0.1912,2.0873,0.0043,12.3226,-3.4593,0.0042,0.0044,0.0042,0.0044
C7,0.278,2.0119,0.0042,45.8934,-3.8946,0.0042,0.0043,0.0042,0.0043
D1,0.3359,1.827,0.0045,124.1599,-3.8049,0.0044,0.0046,0.0044,0.0045
D2,0.3343,1.8423,0.0046,85.1733,-3.7442,0.0045,0.0047,0.0045,0.0047
D3,0.3468,1.8045,0.0045,131.7116,-3.6405,0.0044,0.0046,0.0044,0.0046
D5,0.2883,1.8431,0.0045,76.952,-3.9319,0.0044,0.0045,0.0044,0.0045
D6,0.369,1.7394,0.0046,108.5797,-3.9059,0.0045,0.0047,0.0045,0.0047
D7,0.3346,1.788,0.0044,132.4919,-3.7649,0.0043,0.0045,0.0043,0.0044
E1,0.2598,2.095,0.0044,23.3725,-5.069,0.0044,0.0044,0.0044,0.0044
E2,0.4388,1.7881,0.0045,65.8427,-4.7017,0.0045,0.0046,0.0045,0.0046
E3,0.3035,1.9116,0.005,80.5188,-4.1218,0.0049,0.0051,0.0049,0.0051
E5,0.2929,1.8658,0.0044,113.0397,-3.9248,0.0043,0.0045,0.0043,0.0044
E6,0.2999,1.8951,0.0048,29.0602,-4.1126,0.0047,0.0049,0.0047,0.0048
E7,0.2787,1.9099,0.0042,96.0785,-4.1102,0.0042,0.0043,0.0042,0.0043
F1,0.2905,2.1825,0.0042,98.9295,-4.5837,0.0042,0.0043,0.0042,0.0043
F2,0.228,2.1487,0.0043,74.1498,-4.3772,0.0043,0.0044,0.0043,0.0043
F3,0.3436,2.0044,0.0045,51.3664,-4.3901,0.0045,0.0046,0.0045,0.0045
F5,0.2651,2.1028,0.0035,57.4973,-3.9824,0.0034,0.0035,0.0034,0.0035
F6,0.2543,2.1027,0.0034,21.9986,-3.76,0.0034,0.0035,0.0034,0.0035
F7,0.1671,2.3026,0.0032,16.8421,-3.5176,0.0031,0.0033,0.0031,0.0033
