Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-2.9057,11.9292,0.0151,-159.901,-1.417,0.0142,0.0184,0.0142,0.016
A2,-0.0069,9.4187,0.0173,188.3747,-2.3268,0.0169,0.0177,0.017,0.0175
A3,-0.095,9.2406,0.016,135.2627,-2.5156,0.0157,0.0163,0.0158,0.0162
A5,0.0927,9.9191,0.0192,151.9367,-2.4748,0.0188,0.0195,0.0189,0.0194
A6,0.084,8.4232,0.0164,147.6861,-2.6304,0.0161,0.0167,0.0162,0.0166
A7,0.1476,7.9376,0.0153,144.3071,-2.4999,0.015,0.0157,0.0151,0.0156
B1,-0.2147,7.2831,0.0107,62.6932,-3.0362,0.0106,0.0109,0.0106,0.0108
B3,0.1426,6.7865,0.015,157.2936,-2.9256,0.0147,0.0153,0.0148,0.0152
B5,-0.0345,3.7895,0.0087,76.3019,-4.1487,0.0086,0.0087,0.0086,0.0087
B6,-0.061,3.6771,0.0083,73.0351,-3.8704,0.0082,0.0084,0.0082,0.0083
B7,0.0145,9.4678,0.0179,105.4351,-2.7941,0.0176,0.0181,0.0177,0.018
C1,-0.1776,9.2656,0.016,78.5457,-3.1049,0.0158,0.0162,0.0159,0.0161
C2,0.0901,4.9044,0.0116,118.7257,-3.2824,0.0114,0.0118,0.0115,0.0117
C3,0.1396,6.5937,0.0146,116.7209,-2.7224,0.0143,0.015,0.0144,0.0149
C5,0.217,6.14,0.0137,131.3708,-2.6465,0.0134,0.0141,0.0135,0.014
C6,-0.0027,1.6552,0.0047,59.1355,-4.6573,0.0047,0.0048,0.0047,0.0048
C7,-0.0093,3.3608,0.0073,59.2683,-4.0577,0.0073,0.0074,0.0073,0.0074
D1,-0.0758,8.7909,0.0159,97.2232,-3.2849,0.0158,0.0161,0.0158,0.016
D2,0.0569,4.7006,0.0109,112.6056,-3.2342,0.0107,0.0111,0.0108,0.0111
D3,0.1582,7.4593,0.0169,136.8948,-2.732,0.0166,0.0172,0.0167,0.0171
D5,0.1198,4.7113,0.0123,109.5614,-2.8977,0.0121,0.0126,0.0121,0.0126
D6,0.1497,10.8577,0.023,152.1668,-2.278,0.0225,0.0234,0.0227,0.0233
D7,0.1639,8.5795,0.0189,116.6105,-2.4917,0.0185,0.0193,0.0186,0.0191
D8,-0.147,0.2182,0.0021,-76.0156,-5.9556,NA,NA,0.0013,0.0029
E1,-0.5727,7.8826,0.0132,2.1431,-2.8533,0.013,0.0134,0.0131,0.0134
E2,0.0149,8.9268,0.0175,103.183,-2.9112,0.0172,0.0177,0.0173,0.0176
E3,0.0224,10.4511,0.0226,111.5742,-2.8633,0.0223,0.0229,0.0224,0.0228
E5,0.1903,14.5403,0.0199,218.9434,-1.5774,0.0193,0.0206,0.0196,0.0203
E6,0.3196,16.2518,0.0221,350.0741,-1.5951,0.0215,0.0228,0.0217,0.0224
E7,-0.6988,15.9141,0.0139,58.129,-1.6953,0.0134,0.0143,0.0136,0.0141
F1,-0.6706,7.4866,0.0065,-38.8102,-2.588,0.0063,0.0067,0.0064,0.0066
F2,0.0162,6.4476,0.0151,427.8972,-2.6211,0.0146,0.0156,0.0148,0.0153
F3,-0.0946,4.1988,0.0083,58.3171,-4.3232,0.0083,0.0084,0.0083,0.0084
F5,-0.0424,7.0583,0.0111,99.5038,-3.7251,0.011,0.0112,0.0111,0.0112
F6,0.1094,3.5508,0.0094,179.5571,-0.5324,0.0063,0.0153,0.0072,0.0116
F7,0.0016,38.5353,0.051,637.6203,-2.3775,0.0467,0.0574,0.0505,0.0515
