Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,-18.489,19.8742,0.0451,-617.0692,-2.7308,NA,NA,0.0445,0.0457
A2,-71.5665,73.7115,0.1642,-749.7072,-3.6255,NA,NA,0.1638,0.1646
A3,-63.1095,65.2566,0.1574,-677.1656,-3.2986,NA,NA,0.1568,0.1579
A4,-73.2334,75.3603,0.1696,-755.3595,-3.4686,NA,NA,0.1691,0.1701
A6,-69.0829,71.4556,0.131,-904.478,-3.2635,NA,NA,0.1306,0.1314
A7,-77.7533,79.7792,0.1631,-844.5541,-4.0268,NA,NA,0.1628,0.1634
B1,0.4119,2.0048,0.0054,47.1526,-2.4078,0.005,0.006,0.005,0.0058
B2,-1.0248,3.3131,0.0069,-158.5489,-3.8755,0.0065,0.0075,0.0068,0.0071
B3,-44.2318,46.5685,0.0971,-708.5071,-3.6565,NA,NA,0.0968,0.0973
B5,-1.3673,3.2818,0.0065,-231.4883,-3.6745,0.0057,0.0075,0.0062,0.0068
B6,-2.181,-4.3092,0.0082,-284.8011,-3.6429,0.0077,0.0087,0.0078,0.0086
B7,-46.5802,-48.6196,0.0976,-780.6941,-3.2729,NA,NA,0.0972,0.0981
C1,-10.5825,12.9799,0.0253,-490.0895,-4.2855,0.0243,0.0262,0.0252,0.0253
C2,-0.4687,2.1331,0.0052,-108.2883,-4.0131,0.0049,0.0056,0.005,0.0053
C3,-0.384,1.96,0.0055,-73.6837,-4.6606,0.0054,0.0057,0.0054,0.0056
C5,-60.1915,-62.4411,0.1386,-727.3106,-3.3618,NA,NA,0.1381,0.1391
C6,-1.8989,3.3288,0.0075,-262.7239,-4.8787,0.0071,0.0079,0.0074,0.0077
C7,-1.4918,-3.1748,0.0064,-249.7193,-4.0304,0.0057,0.0073,0.0061,0.0066
D1,-0.5625,2.3639,0.005,-104.6607,-4.3033,0.0049,0.0051,0.0049,0.0051
D2,-42.8614,-44.406,0.129,-564.5171,-3.328,NA,NA,0.1282,0.1298
D3,-95.3315,97.8655,0.2325,-717.7122,-3.834,NA,NA,0.2321,0.2329
D5,-66.2121,68.3941,0.1576,-724.6523,-3.2806,NA,NA,0.157,0.1581
D6,-57.9223,60.0693,0.1201,-804.5345,-3.7019,NA,NA,0.1198,0.1204
D7,-58.6449,61.0386,0.1215,-782.2974,-4.1106,NA,NA,0.1214,0.1217
E1,-29.8937,30.925,0.0917,-556.8452,-3.6556,NA,NA,0.0911,0.0923
E2,-68.8252,70.8337,0.1821,-652.3672,-4.0755,NA,NA,0.1818,0.1824
E3,-23.8096,25.4229,0.0521,-685.1566,-3.3506,NA,NA,0.0517,0.0524
E5,-0.5187,2.8284,0.006,-107.6959,-3.7126,0.0057,0.0063,0.0058,0.0061
E6,-3.3875,-4.8894,0.0137,-265.4218,-4.9226,0.0133,0.014,0.0133,0.0141
E7,-3.566,5.038,0.0136,-282.8873,-5.1217,0.0128,0.0152,0.0133,0.0139
