Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.2131,1.7762,0.0066,232.7074,-3.4223,0.0064,0.007,0.0065,0.0068
A2,0.1536,1.5485,0.0038,211.5258,-3.048,0.0036,0.0041,0.0037,0.004
A3,0.1838,1.5245,0.0046,243.9428,-3.8702,0.0045,0.0048,0.0045,0.0047
A5,0.203,1.8269,0.005,230.9892,-3.5762,0.0048,0.0052,0.0049,0.0051
A6,0.2006,1.8219,0.0049,217.1369,-3.5279,0.0048,0.0051,0.0048,0.0051
A7,0.2147,1.7542,0.0051,224.1277,-3.3423,0.0049,0.0054,0.005,0.0053
F1,0.1771,2.2643,0.0039,146.7334,-4.0803,0.0038,0.0039,0.0038,0.0039
F2,0.2442,2.0648,0.0041,138.9171,-4.1904,0.004,0.0041,0.004,0.0041
F3,0.2171,2.144,0.0041,115.9392,-4.5063,0.004,0.0041,0.0041,0.0041
F5,0.1888,2.2391,0.0038,107.3463,-4.4067,0.0038,0.0039,0.0038,0.0039
F6,0.1092,2.3347,0.0037,73.4337,-3.8783,0.0036,0.0038,0.0037,0.0038
F7,0.1094,2.4073,0.0034,30.6397,-3.881,0.0034,0.0035,0.0034,0.0035
