Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.1301,1.3415,0.229,13.3798,-3.365,0.2198,0.2389,0.2196,0.2385
B3,0.1232,1.5281,0.1912,14.443,-3.351,0.1835,0.1993,0.1834,0.199
B4,0.1307,-1.4377,0.238,14.1039,-3.3501,0.2289,0.2476,0.2287,0.2472
B5,0.1335,1.5159,0.2387,10.1911,-3.4343,0.2312,0.2467,0.231,0.2465
B6,0.1218,1.3443,0.1714,11.0461,-3.4892,0.1641,0.1792,0.164,0.1789
B7,0.146,1.6466,0.2166,11.0127,-3.2549,0.2083,0.2255,0.2081,0.2252
B8,0.1323,1.5147,0.2149,15.1707,-3.3305,0.2075,0.2226,0.2074,0.2224
B9,0.1567,1.4101,0.1824,11.5592,-3.5389,0.1773,0.1877,0.1772,0.1876
B10,0.1428,1.5834,0.1728,11.7801,-3.4353,0.1666,0.1794,0.1664,0.1792
B11,0.1329,1.5368,0.1665,14.3819,-3.3462,0.1594,0.1741,0.1592,0.1737
C2,0.1436,1.4351,0.2361,8.9718,-3.4684,0.2284,0.2443,0.2282,0.244
C3,0.1246,1.524,0.1946,13.1537,-3.3366,0.1871,0.2026,0.1869,0.2024
C4,0.1541,-1.3694,0.2359,10.0416,-3.5643,0.2284,0.2438,0.2282,0.2436
C5,0.1329,-1.4254,0.228,12.1487,-3.4233,0.2201,0.2363,0.2199,0.236
C6,0.1565,1.4886,0.182,10.7026,-3.4125,0.1745,0.1899,0.1744,0.1895
C7,0.1526,1.6409,0.2184,9.4067,-3.2029,0.2101,0.2273,0.2099,0.227
C8,0.1395,1.4116,0.2059,15.2458,-3.3671,0.1985,0.2136,0.1983,0.2134
C9,0.1823,1.401,0.1877,11.4904,-3.6616,0.183,0.1926,0.1829,0.1925
C10,0.131,1.6456,0.1763,13.1798,-3.3715,0.17,0.1831,0.1698,0.1829
C11,0.1322,-1.5811,0.1825,13.8042,-3.2158,0.1741,0.1915,0.1739,0.1911
D2,0.1484,1.4978,0.2403,8.1932,-3.4546,0.2328,0.2483,0.2326,0.2481
D3,0.1232,1.3069,0.1891,14.5626,-3.4177,0.1823,0.1964,0.1822,0.1961
D4,0.1509,-1.4366,0.239,9.4133,-3.5105,0.2314,0.247,0.2312,0.2467
D5,0.153,1.46,0.2329,11.6361,-3.4201,0.225,0.2412,0.2248,0.241
D6,0.1357,1.4074,0.1783,9.3243,-3.4612,0.1707,0.1863,0.1706,0.186
D7,0.1644,1.6134,0.217,9.783,-3.2143,0.2087,0.2258,0.2085,0.2254
D8,0.1544,1.4127,0.2051,15.2543,-3.4158,0.1981,0.2124,0.198,0.2121
D9,0.164,1.4218,0.1912,12.8021,-3.5205,0.1857,0.197,0.1856,0.1968
D10,0.153,1.4543,0.1983,10.577,-3.3679,0.1917,0.2051,0.1916,0.2049
D11,0.135,1.5746,0.1646,11.5649,-3.4336,0.1583,0.1713,0.1582,0.1711
E2,0.1333,1.4619,0.2382,9.9751,-3.4527,0.2305,0.2464,0.2303,0.2462
E3,0.1348,1.3938,0.1885,11.8944,-3.4013,0.1811,0.1963,0.1809,0.196
E4,0.1576,-1.4778,0.2421,9.4178,-3.5036,0.2346,0.2499,0.2345,0.2497
E5,0.1627,1.4934,0.2309,10.9398,-3.4106,0.2233,0.2389,0.2231,0.2386
E6,0.1608,1.3801,0.1749,9.3271,-3.4692,0.1675,0.1829,0.1673,0.1826
E7,0.1515,1.6626,0.219,10.7078,-3.193,0.2105,0.2279,0.2104,0.2276
E8,0.1769,1.4499,0.2078,13.3141,-3.4446,0.2012,0.2147,0.2011,0.2145
E9,0.1664,1.3707,0.1793,11.2514,-3.6122,0.1745,0.1844,0.1744,0.1842
E10,0.1491,1.4426,0.1965,10.7933,-3.398,0.1901,0.2031,0.19,0.2029
E11,0.1393,1.5492,0.1721,11.8965,-3.3474,0.165,0.1796,0.1649,0.1793
F2,0.1314,-1.49,0.237,10.2574,-3.4412,0.2294,0.245,0.2292,0.2448
F3,0.1269,1.5046,0.1996,10.1239,-3.4077,0.1924,0.2073,0.1922,0.207
F4,0.1433,-1.6237,0.2444,9.7312,-3.4528,0.2374,0.2517,0.2373,0.2515
F5,0.1313,1.3971,0.2139,13.2299,-3.3462,0.2059,0.2225,0.2057,0.2222
F6,0.1458,1.5403,0.1945,9.0874,-3.3297,0.1864,0.203,0.1862,0.2027
F7,0.1628,1.6561,0.2005,10.5304,-3.5655,0.1944,0.2068,0.1943,0.2066
F8,0.1464,1.4395,0.2079,13.4939,-3.3615,0.2007,0.2155,0.2005,0.2153
F9,0.1621,1.4323,0.1894,11.3895,-3.5462,0.1842,0.1949,0.1841,0.1948
F10,0.14,1.577,0.1707,10.7162,-3.4232,0.1645,0.1774,0.1643,0.1771
F11,0.1295,1.5961,0.166,15.2398,-3.2733,0.1587,0.1739,0.1584,0.1736
G2,0.1434,1.4544,0.2389,9.0716,-3.4633,0.2311,0.247,0.2309,0.2468
G3,0.1234,1.5154,0.1922,10.6244,-3.4242,0.185,0.1998,0.1849,0.1996
G4,0.1303,1.4541,0.2352,10.6561,-3.4358,0.2272,0.2435,0.2271,0.2432
G5,0.131,1.549,0.2393,12.2034,-3.3789,0.2314,0.2476,0.2313,0.2473
G6,0.1317,1.4314,0.1744,9.4339,-3.4024,0.1666,0.1827,0.1664,0.1823
G7,0.1493,1.6201,0.2068,9.523,-3.3009,0.199,0.2151,0.1989,0.2148
G8,0.1298,-1.5301,0.2134,17.4577,-3.2202,0.2053,0.222,0.2051,0.2217
G9,0.1344,1.3786,0.188,17.9735,-3.2096,0.18,0.1965,0.1798,0.1962
G10,0.1307,1.6303,0.1728,13.6339,-3.3783,0.1664,0.1796,0.1662,0.1794
G11,0.1287,1.4913,0.1636,16.6833,-3.3622,0.1565,0.1713,0.1563,0.171
H7,0.5961,1.6577,0.2073,13.0175,-3.3365,0.1995,0.2156,0.1994,0.2153
