Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,0.0427,1.5513,0.2626,11.1936,-3.3393,0.2534,0.2724,0.2531,0.2721
C2,0.0489,1.527,0.2636,9.0548,-3.4313,0.255,0.2727,0.2548,0.2725
D2,0.0469,1.5329,0.2644,8.8826,-3.4238,0.2558,0.2736,0.2556,0.2733
E2,0.0569,1.5915,0.2688,8.6616,-3.3821,0.26,0.278,0.2598,0.2777
F2,0.0581,1.5624,0.2669,8.3033,-3.3764,0.2579,0.2764,0.2577,0.2761
G2,0.0414,-1.5564,0.2644,10.5029,-3.3891,0.2556,0.2737,0.2554,0.2734
B3,0.0365,1.6237,0.2273,13.102,-3.2609,0.2168,0.2385,0.2165,0.2381
C3,0.0474,-1.5672,0.2632,11.6218,-3.302,0.2537,0.2733,0.2535,0.2729
D3,0.0609,1.5291,0.2653,9.393,-3.4036,0.2565,0.2747,0.2563,0.2744
E3,0.053,1.5118,0.2635,9.449,-3.3972,0.2544,0.273,0.2542,0.2727
F3,0.0377,-1.5199,0.2584,11.0053,-3.3972,0.2496,0.2676,0.2494,0.2673
G3,0.0379,1.5808,0.2502,10.6928,-3.184,0.2391,0.262,0.2389,0.2615
B4,0.0286,1.7468,0.2303,12.0465,-3.2904,0.2207,0.2406,0.2205,0.2401
C4,0.0387,-1.7095,0.237,8.5849,-3.2496,0.2268,0.2479,0.2265,0.2474
D4,0.0396,1.5361,0.2428,11.9257,-3.1874,0.2314,0.2549,0.2311,0.2544
E4,0.0404,1.7339,0.231,10.382,-3.3136,0.2214,0.2412,0.2212,0.2408
F4,0.0481,1.5636,0.2581,11.2555,-3.212,0.2475,0.2694,0.2472,0.2689
G4,0.0476,1.548,0.2547,10.9062,-3.1713,0.2435,0.2667,0.2432,0.2662
B5,0.036,-1.5754,0.2607,11.564,-3.3618,0.2519,0.2699,0.2517,0.2696
C5,0.0391,1.598,0.2632,11.1557,-3.3674,0.2546,0.2723,0.2544,0.2721
D5,0.0399,-1.5148,0.2559,10.5878,-3.3959,0.2472,0.2651,0.247,0.2648
E5,0.0486,1.5334,0.2605,8.8669,-3.4259,0.252,0.2695,0.2519,0.2692
F5,0.047,-1.5802,0.2645,8.85,-3.4275,0.2563,0.2733,0.2561,0.273
G5,0.0465,-1.5927,0.2657,9.4112,-3.4183,0.2574,0.2745,0.2572,0.2742
B6,0.0322,-1.5349,0.2572,12.7687,-3.3402,0.248,0.2669,0.2478,0.2666
C6,0.0556,1.5624,0.2633,9.9983,-3.4155,0.2548,0.2722,0.2546,0.2719
D6,0.0612,1.5,0.2607,8.9161,-3.4033,0.2517,0.2702,0.2515,0.2699
E6,0.056,1.5188,0.2608,8.7725,-3.4501,0.2524,0.2697,0.2522,0.2695
F6,0.0489,1.5836,0.2631,9.5253,-3.4251,0.2548,0.2717,0.2547,0.2715
G6,0.0466,-1.5716,0.263,9.7674,-3.4301,0.2547,0.2718,0.2546,0.2715
B7,0.049,1.6898,0.2417,11.1043,-3.0825,0.2314,0.2527,0.2311,0.2522
C7,0.0477,-1.6833,0.2411,11.1867,-3.1179,0.2313,0.2515,0.231,0.2511
D7,0.0712,1.6243,0.2373,10.1205,-3.1223,0.2272,0.2481,0.2269,0.2477
E7,0.0525,1.643,0.2401,9.0411,-3.1152,0.2299,0.251,0.2297,0.2506
F7,0.059,1.6482,0.2369,8.8945,-3.0951,0.2263,0.2482,0.226,0.2477
G7,0.0468,1.6379,0.2355,11.8886,-3.131,0.2254,0.2463,0.2252,0.2458
B8,0.046,1.6499,0.2461,11.1717,-3.2871,0.238,0.2547,0.2378,0.2544
C8,0.045,1.6319,0.245,10.7845,-3.3164,0.2371,0.2534,0.2369,0.2531
D8,0.052,-1.6208,0.2469,9.9128,-3.3353,0.239,0.2553,0.2388,0.255
E8,0.0568,1.6141,0.2448,9.8903,-3.3352,0.2369,0.2531,0.2367,0.2528
F8,0.0428,1.6057,0.2421,11.5044,-3.3204,0.2341,0.2505,0.234,0.2503
G8,0.0421,1.6063,0.2443,12.2182,-3.3119,0.2361,0.2529,0.2359,0.2526
B9,0.0503,1.6419,0.2463,9.7797,-3.2705,0.238,0.2551,0.2378,0.2548
C9,0.0449,1.606,0.2445,10.2946,-3.3221,0.2365,0.253,0.2363,0.2527
D9,0.0517,1.6239,0.2462,10.2792,-3.3487,0.2384,0.2544,0.2383,0.2541
E9,0.0612,-1.5501,0.2466,9.0521,-3.4059,0.2388,0.2548,0.2386,0.2546
F9,0.0521,-1.5086,0.2418,9.6633,-3.38,0.2337,0.2504,0.2335,0.2502
G9,0.0525,1.5846,0.2457,11.3959,-3.3508,0.2377,0.2541,0.2376,0.2539
B10,0.0507,-1.5938,0.247,10.0882,-3.3244,0.2387,0.2556,0.2386,0.2553
C10,0.0543,1.613,0.2488,9.566,-3.3457,0.2409,0.2572,0.2407,0.257
D10,0.0476,1.5934,0.247,10.1226,-3.3375,0.2388,0.2555,0.2386,0.2553
E10,0.0545,-1.5793,0.2477,9.0351,-3.3534,0.2396,0.2562,0.2394,0.256
F10,0.0551,-1.6012,0.2502,9.2418,-3.3527,0.2421,0.2586,0.2419,0.2584
G10,0.0421,1.6374,0.2473,12.9492,-3.2257,0.2384,0.2566,0.2382,0.2563
B11,0.0407,1.5942,0.2449,11.7341,-3.1815,0.2353,0.2552,0.235,0.2548
C11,0.0448,1.6019,0.2484,10.9222,-3.2906,0.2398,0.2574,0.2396,0.2571
D11,0.0655,1.5734,0.2495,9.0552,-3.2047,0.2396,0.26,0.2394,0.2596
E11,0.0739,-1.5739,0.2546,9.512,-3.2965,0.2455,0.2641,0.2453,0.2638
F11,0.0398,1.5975,0.2432,12.0953,-3.1549,0.2332,0.2537,0.233,0.2534
G11,0.0617,1.565,0.2477,12.0817,-3.226,0.2381,0.2579,0.2378,0.2575
