Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B3,0.0435,-1.5426,0.2436,12.953,-3.4041,0.2358,0.2518,0.2356,0.2516
B4,0.1058,1.6497,0.2111,9.5088,-3.2356,0.2044,0.2182,0.2042,0.218
B5,0.0402,1.4039,0.1831,16.4423,-3.5443,0.1779,0.1885,0.1778,0.1884
B6,0.042,1.5649,0.1669,14.3921,-3.406,0.1622,0.1717,0.1621,0.1716
B7,0.0596,1.5291,0.1809,18.9417,-3.2438,0.1748,0.1873,0.1747,0.1871
B8,0.0643,-1.5971,0.2426,8.372,-3.2472,0.2339,0.2519,0.2337,0.2516
B9,0.0583,-1.5233,0.2387,8.5538,-3.464,0.2315,0.2463,0.2313,0.2461
B10,0.0408,1.6942,0.2474,13.3718,-3.3114,0.2397,0.2554,0.2395,0.2552
B11,0.0545,1.5882,0.2516,9.4402,-3.5321,0.2448,0.2587,0.2446,0.2585
C2,0.0608,-1.4723,0.194,10.2452,-3.4069,0.1881,0.2002,0.188,0.2
C3,0.0602,-1.6633,0.2554,9.373,-3.3851,0.2477,0.2633,0.2476,0.2631
C4,0.0734,1.5995,0.2048,9.5413,-3.4468,0.1994,0.2104,0.1993,0.2102
C5,0.0728,1.4999,0.1961,9.6573,-3.6972,0.1918,0.2006,0.1917,0.2005
C6,0.039,1.4146,0.1492,12.9311,-3.4125,0.1446,0.154,0.1446,0.1538
C7,0.05,1.5835,0.1804,18.7907,-3.1748,0.1743,0.1869,0.1741,0.1867
C8,0.08,-1.6323,0.2463,7.6451,-3.3677,0.2387,0.2543,0.2386,0.254
C9,0.081,1.4833,0.2408,8.719,-3.6463,0.2346,0.2473,0.2344,0.2471
C10,0.0552,1.5229,0.2434,10.9615,-3.3363,0.2349,0.2523,0.2347,0.252
C11,0.0476,1.5234,0.2444,10.6478,-3.5595,0.2376,0.2515,0.2375,0.2513
D2,0.0643,1.4242,0.1908,11.8651,-3.6227,0.1859,0.1959,0.1858,0.1957
D3,0.0772,-1.429,0.2431,9.9087,-3.5975,0.236,0.2504,0.2359,0.2502
D4,0.0834,1.4556,0.1962,9.7242,-3.5535,0.191,0.2017,0.1909,0.2016
D5,0.0415,1.3947,0.1799,11.2655,-3.8474,0.1763,0.1837,0.1762,0.1837
D6,0.043,1.4432,0.1464,12.2069,-3.4052,0.1422,0.1509,0.1421,0.1508
D7,0.0519,-1.5235,0.1737,17.0799,-3.2761,0.1682,0.1794,0.1681,0.1793
D8,0.0965,1.6462,0.2533,7.199,-3.5773,0.2471,0.2597,0.247,0.2595
D9,0.0761,-1.5159,0.2452,9.8344,-3.5275,0.2381,0.2526,0.2379,0.2524
D10,0.0646,-1.5993,0.2529,9.8033,-3.357,0.2447,0.2615,0.2446,0.2612
D11,0.0517,1.594,0.2538,9.4635,-3.5902,0.2473,0.2605,0.2472,0.2604
E2,0.0495,1.4702,0.1496,12.3039,-3.4381,0.1455,0.154,0.1454,0.1539
E4,0.0874,1.6551,0.2087,9.1476,-3.4279,0.2034,0.2143,0.2033,0.2142
E5,0.0529,1.3879,0.1827,10.57,-3.8494,0.1789,0.1866,0.1789,0.1865
E6,0.034,1.4479,0.1503,12.5686,-3.4088,0.1459,0.155,0.1458,0.1549
E7,0.107,1.5159,0.1641,14.3469,-3.0458,0.1573,0.1714,0.1571,0.1711
E8,0.0781,1.5362,0.2445,9.5067,-3.3384,0.2358,0.2536,0.2357,0.2533
E9,0.0571,1.5346,0.2378,8.1164,-3.6408,0.2318,0.2439,0.2317,0.2438
E10,0.0885,1.5408,0.2513,8.795,-3.5943,0.2447,0.2582,0.2446,0.258
E11,0.049,1.4874,0.2414,9.996,-3.6133,0.2349,0.2482,0.2348,0.248
F2,0.0546,-1.3875,0.1635,19.1581,-3.1662,0.1566,0.1708,0.1564,0.1705
F4,0.0566,1.4954,0.1938,10.5119,-3.4922,0.1886,0.1994,0.1885,0.1992
F5,0.058,-1.3753,0.1851,10.5887,-3.7701,0.1808,0.1895,0.1808,0.1894
F6,0.0439,-1.5006,0.1564,12.7086,-3.4152,0.1519,0.161,0.1519,0.1609
F7,0.0748,1.4064,0.1659,16.1311,-3.4367,0.161,0.1709,0.1609,0.1708
F8,0.0604,-1.4924,0.2375,8.6923,-3.6707,0.2316,0.2437,0.2315,0.2436
F9,0.0578,1.4434,0.2346,9.1953,-3.5302,0.2274,0.242,0.2273,0.2418
F10,0.0796,1.5202,0.2486,9.3684,-3.4255,0.2407,0.2569,0.2405,0.2567
F11,0.0397,-1.4396,0.2314,10.6563,-3.6193,0.225,0.2382,0.2249,0.238
G2,0.0594,1.5988,0.2385,7.9273,-3.2187,0.2296,0.248,0.2294,0.2477
G4,0.0688,1.5151,0.1986,9.6284,-3.5204,0.1934,0.2041,0.1933,0.2039
G5,0.0571,-1.4133,0.189,13.3465,-3.6524,0.1842,0.1939,0.1841,0.1938
G6,0.0565,1.4489,0.138,10.8055,-3.5545,0.1347,0.1414,0.1347,0.1414
G7,0.0372,1.4431,0.1648,19.9573,-3.1905,0.1586,0.1713,0.1585,0.1711
G8,0.0489,1.5755,0.2426,9.8344,-3.5965,0.2364,0.249,0.2363,0.2489
G9,0.0408,-1.6159,0.2455,13.2819,-3.4784,0.2386,0.2526,0.2385,0.2525
G10,0.045,1.6145,0.2494,11.3585,-3.4282,0.2421,0.2571,0.2419,0.2569
G11,0.055,1.6433,0.2545,9.7917,-3.5196,0.2478,0.2615,0.2477,0.2614
