Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,-0.0918,0.8117,0.0458,0.3185,-3.0669,0.0425,0.0501,0.0421,0.0495
B3,0.0231,0.348,0.1072,6.5847,-3.4578,0.0921,0.127,0.0902,0.1242
B4,0.0255,-0.6867,0.0912,6.5368,-4.502,0.0884,0.0941,0.0884,0.094
B5,0.0172,-0.2189,0.0202,5.41,-5.3227,0.0194,0.0209,0.0194,0.0209
B6,-0.0284,0.3658,0.0123,-0.2199,-4.6008,0.0119,0.0126,0.0119,0.0126
B7,0.0157,0.5622,0.0618,10.6698,-4.6446,0.0598,0.0638,0.0598,0.0637
B8,0.0192,0.1637,0.0257,4.3664,-5.5663,0.0247,0.0268,0.0246,0.0268
B9,0.0195,0.2729,0.0282,9.3682,-5.2738,0.0275,0.029,0.0275,0.029
B10,0.0027,0.3025,0.0239,5.2612,-5.1112,0.0233,0.0244,0.0233,0.0244
B11,0.0031,0.0645,0.0029,13.591,-7.2989,0.0028,0.0029,0.0028,0.0029
C2,-0.1096,0.824,0.0436,-0.3258,-3.1997,0.0411,0.0466,0.041,0.0463
C3,0.0409,0.5346,0.1614,5.1954,-2.8767,0.1349,0.1977,0.1309,0.1918
C4,0.0569,0.9602,0.1332,5.0922,-4.4614,0.1304,0.1362,0.1304,0.1361
C5,0.022,0.1638,0.0256,6.9781,-3.2009,0.0189,0.0376,0.017,0.0342
C6,-0.0019,0.4454,0.0171,5.6646,-4.9922,0.0168,0.0173,0.0168,0.0173
C7,0.0124,-0.5991,0.0822,11.9578,-4.4206,0.079,0.0856,0.0789,0.0855
C8,0.021,0.1705,0.024,5.5403,-5.8975,0.0234,0.0246,0.0234,0.0246
C9,0.0134,0.2239,0.0245,8.6865,-5.5245,0.0239,0.0252,0.0239,0.0252
C10,0.0012,-0.347,0.0268,4.3304,-4.9341,0.0262,0.0275,0.0262,0.0275
C11,0.0015,0.0904,0.0041,12.0714,-6.9734,0.0041,0.0042,0.0041,0.0042
D2,0.0097,0.5255,0.0584,4.4504,-3.4612,0.053,0.0646,0.0526,0.0642
D3,-0.0067,0.5624,0.0401,4.1014,-3.759,0.0381,0.0422,0.038,0.0421
D4,0.0312,0.7125,0.112,3.7812,-4.5572,0.1088,0.1154,0.1088,0.1153
D5,0.0013,0.2162,0.009,9.9417,-5.3711,0.0087,0.0092,0.0087,0.0092
D6,0.0109,0.2872,0.0286,7.7793,-5.0014,0.0277,0.0296,0.0277,0.0296
D7,0.0125,0.4928,0.027,7.8945,-3.6601,0.0255,0.0286,0.0254,0.0285
D8,0.0102,0.232,0.0303,5.9594,-5.615,0.0296,0.0311,0.0296,0.0311
D9,0.0203,0.4259,0.0677,5.1484,-4.8288,0.0653,0.0702,0.0653,0.0701
D10,0.016,0.3115,0.0397,7.4215,-5.9841,0.0392,0.0402,0.0392,0.0401
D11,5e-04,0.1348,0.0035,13.0501,-6.1193,0.0034,0.0035,0.0034,0.0035
E2,0.0223,0.4847,0.0781,5.0161,-3.6971,0.0719,0.0852,0.0715,0.0847
E3,-8.06,8.7137,0.2138,-51.5173,-3.1077,NA,NA,0.1571,0.2705
E4,0.0155,-0.5925,0.0846,5.3229,-4.5681,0.0823,0.087,0.0823,0.0869
E5,-0.0091,0.4125,0.0184,10.0268,-4.4829,0.0178,0.019,0.0178,0.0189
E6,0.004,0.4346,0.0385,7.5353,-3.8527,0.0359,0.0414,0.0357,0.0412
E7,0.0148,0.5608,0.0324,8.0706,-3.842,0.0311,0.0337,0.031,0.0337
E8,0.0164,0.3067,0.0554,5.1483,-4.953,0.0531,0.0579,0.0531,0.0578
E9,0.0198,-0.441,0.0713,4.9735,-4.8406,0.0689,0.0738,0.0689,0.0737
E10,0.0193,0.324,0.0393,6.2666,-6.0628,0.0389,0.0397,0.0389,0.0397
E11,0.0012,-0.0915,0.0044,14.1035,-7.0986,0.0044,0.0045,0.0044,0.0045
F2,-0.021,0.6294,0.0419,3.5807,-3.2287,0.0382,0.0462,0.0379,0.0459
F3,0.026,0.5274,0.0714,4.6167,-3.1881,0.0642,0.0799,0.0636,0.0792
F5,0.0076,0.223,0.04,6.9842,-4.8367,0.0378,0.0424,0.0377,0.0423
F6,0.0096,0.3525,0.0237,7.5362,-5.5571,0.0234,0.024,0.0234,0.024
F7,-0.0697,-0.1441,0.0033,-18.684,-6.0856,0.0029,0.0049,0.0031,0.0034
F8,0.0142,-0.3768,0.0514,4.9592,-2.807,0.0408,0.0668,0.0389,0.0638
F9,0.0104,0.2592,0.0322,5.164,-5.6472,0.0314,0.0329,0.0314,0.0329
F11,0.0017,-0.0534,0.0026,13.7731,-7.2406,NA,NA,0.0026,0.0026
G2,0.0156,0.5759,0.06,4.9281,-3.9376,0.0572,0.063,0.0571,0.0628
G3,0.0456,0.5968,0.0911,4.5888,-3.2623,0.0836,0.0998,0.0831,0.0991
G5,-3e-04,0.2341,0.0288,7.6373,-4.9985,0.027,0.0309,0.0269,0.0307
G6,0.0049,0.1973,0.0116,6.2974,-6.2645,0.0114,0.0117,0.0114,0.0117
G8,0.0161,0.3222,0.0455,5.3563,-5.1083,0.0441,0.0469,0.044,0.0469
G9,0.0115,-0.2689,0.0341,5.9055,-5.2629,0.033,0.0352,0.033,0.0352
G11,0.0037,0.0702,0.0036,14.6959,-6.8608,NA,NA,0.0036,0.0036
