Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,-2.9329,4.5112,0.0105,-287.5557,-4.0704,NA,NA,0.0104,0.0107
B3,0.1334,0.602,0.0857,7.5814,-3.2106,0.0768,0.0961,0.0762,0.0952
B4,0.0028,0.1844,0.0143,3.626,-5.2472,0.0138,0.0147,0.0138,0.0147
B5,-0.003,0.7311,0.0751,3.7383,-3.5869,0.0714,0.079,0.0713,0.0788
B6,0.0093,0.6768,0.0835,5.5077,-5.124,0.0826,0.0845,0.0826,0.0845
B7,0.0126,-0.6451,0.123,7.1613,-4.5177,0.1198,0.1265,0.1197,0.1264
B8,0.02,0.4551,0.0479,9.0992,-5.6845,0.0474,0.0483,0.0474,0.0483
B9,0.0037,0.4929,0.0722,11.4719,-5.1787,0.0706,0.0738,0.0706,0.0737
B10,0.0158,0.452,0.084,7.3227,-4.1607,0.0797,0.0887,0.0795,0.0885
B11,-0.0122,0.0938,0.0043,9.4472,-5.9224,0.0042,0.0044,0.0042,0.0044
C2,-0.0725,188.3687,0.3664,186.8558,-3.4795,NA,NA,0.3637,0.3691
C3,0.0409,0.777,0.1245,8.1662,-2.8543,0.1103,0.1412,0.1092,0.1397
C4,0.0084,0.2629,0.02,6.0709,-5.3662,0.0196,0.0203,0.0196,0.0203
C5,0.0306,0.6946,0.1408,4.7991,-4.2374,0.1338,0.1483,0.1337,0.1479
C6,0.0235,0.6679,0.1214,5.2509,-4.0374,0.1162,0.1268,0.1161,0.1266
C7,0.0281,-0.8032,0.1249,5.0331,-4.3992,0.1211,0.1289,0.1211,0.1287
C8,0.0189,0.5429,0.0502,9.7604,-4.0273,0.0481,0.0524,0.048,0.0523
C9,-0.0025,0.4739,0.0693,11.5583,-5.2412,0.0679,0.0707,0.0679,0.0707
C10,2e-04,0.535,0.083,8.247,-2.6886,0.0666,0.1048,0.0644,0.1015
C11,-0.0151,0.1038,0.0059,6.7452,-6.01,0.0058,0.0061,0.0058,0.0061
D2,-0.1586,0.3084,0.0097,-14.7971,-4.6321,0.0078,0.0178,0.0082,0.0112
D3,0.0054,0.8548,0.0744,4.3517,-2.7792,0.0667,0.0834,0.0661,0.0826
D4,0.0201,0.7497,0.1297,5.1078,-4.4929,0.1259,0.1337,0.1259,0.1336
D5,0.0192,0.7178,0.0853,7.0077,-3.4239,0.0801,0.0909,0.0799,0.0906
D6,0.0251,0.687,0.0928,6.8868,-2.8035,0.0821,0.1055,0.0812,0.1043
D7,-0.0033,0.7484,0.0803,5.5514,-3.2747,0.0749,0.0863,0.0746,0.086
D8,0.0178,0.5326,0.0928,7.3236,-4.9688,0.0904,0.0953,0.0904,0.0952
D9,0.0108,0.3895,0.0459,6.0918,-3.1432,0.0394,0.0539,0.0387,0.053
D10,-16.6341,18.594,0.0935,-231.1733,-2.5182,NA,NA,0.0922,0.0948
D11,-0.0061,-0.1901,0.0046,10.3674,-5.1843,0.0045,0.0048,0.0045,0.0047
E2,-0.0261,0.1752,0.0111,-2.5896,-4.4297,0.0098,0.0145,0.0098,0.0124
E3,0.024,0.7519,0.0925,5.6714,-2.6675,0.0801,0.1079,0.0788,0.1062
E4,0.0093,0.6087,0.1199,7.1948,-4.3953,0.1161,0.124,0.116,0.1238
E5,0.037,0.6764,0.1404,6.2897,-3.6184,0.1321,0.1496,0.1318,0.1491
E6,0.0171,0.6283,0.0906,8.8015,-2.8777,0.0801,0.1032,0.0792,0.102
E7,0.0399,0.7408,0.1893,5.1195,-2.7366,0.1624,0.2237,0.1593,0.2194
E8,0.005,0.3567,0.0679,8.2247,-5.3047,0.0664,0.0695,0.0664,0.0694
E9,0.0163,0.5629,0.074,6.6382,-3.8649,0.0704,0.0779,0.0703,0.0777
E10,0.0366,0.6147,0.1184,7.6214,-2.5022,0.0961,0.149,0.0928,0.144
E11,-0.0136,-0.1332,0.0038,4.665,-5.4091,0.0037,0.004,0.0037,0.0039
F2,-0.0397,0.5876,0.0216,5.4954,-4.3067,0.0211,0.0221,0.0211,0.0221
F3,-0.0222,0.8556,0.056,4.3111,-2.8804,0.0509,0.0618,0.0506,0.0614
F5,0.014,0.6677,0.0943,4.601,-5.2322,0.0929,0.0957,0.0929,0.0956
F6,0.0072,0.5698,0.0851,6.4922,-5.4385,0.0839,0.0864,0.0839,0.0863
F7,-0.0158,-0.0445,0.0021,1.5682,-6.4335,0.002,0.0021,0.002,0.0021
F8,0.0041,0.5187,0.0717,8.0825,-2.7833,0.0601,0.0868,0.0586,0.0848
F9,0.0036,0.3976,0.0519,7.6192,-5.05,0.0508,0.0531,0.0507,0.053
F10,0.0023,0.5154,0.0387,8.1633,-2.6822,0.03,0.0503,0.0287,0.0487
F11,-0.11,-66.4055,0.1018,209.1735,-4.873,NA,NA,0.1012,0.1023
G2,-0.0286,0.6541,0.0306,5.2013,-4.1738,0.0298,0.0313,0.0298,0.0313
G3,-0.0066,-0.8037,0.0533,5.118,-2.6304,0.0464,0.0615,0.0458,0.0608
G5,0.0116,0.4672,0.0972,7.0645,-4.006,0.0915,0.1035,0.0913,0.1032
G6,0.0208,0.626,0.1021,4.7978,-5.1735,0.1005,0.1038,0.1004,0.1038
G7,-0.0374,0.0992,0.0036,-6.3551,-6.3361,NA,NA,0.0035,0.0037
G8,-0.0463,1.0025,0.0367,4.5715,-2.8048,0.0347,0.0388,0.0346,0.0387
G9,0.0044,0.4249,0.0413,5.6582,-3.9348,0.0387,0.0441,0.0386,0.044
G10,-0.0051,0.6661,0.0465,7.8511,-3.127,0.0424,0.0512,0.0422,0.0508
G11,-0.0088,0.0845,0.005,8.3439,-6.0781,0.0048,0.0051,0.0048,0.0051
