Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B3,0.0237,-0.3484,0.0336,15.4495,-5.1054,0.0328,0.0344,0.0328,0.0344
B4,0.0081,0.3317,0.0215,19.4992,-4.7991,0.0208,0.0222,0.0208,0.0222
B5,-0.003,-722.5917,2.8065,155.4569,-6.6032,NA,NA,2.779,2.8339
B6,-2e-04,-1.3444,0.0198,40.1752,-5.9672,0.0171,0.0238,0.0196,0.02
B7,0.0011,0.8735,0.0119,36.213,-7.188,0.0114,0.0125,0.0119,0.012
B8,0.0096,0.1983,0.0116,16.0118,-5.1678,0.0112,0.012,0.0112,0.012
B9,0.0012,0.21,0.0195,19.9849,-5.6163,0.019,0.02,0.019,0.02
B10,-2e-04,-0.1047,0.0066,8.6582,-6.4953,0.0065,0.0067,0.0065,0.0067
C3,0.0157,0.3621,0.0307,16.5848,-4.584,0.0295,0.032,0.0295,0.032
C4,-5e-04,-0.337,0.0153,19.432,-5.4384,0.0151,0.0156,0.0151,0.0156
C5,0.0021,-573.9448,1.9458,169.1106,-5.9163,NA,NA,1.944,1.9476
C6,-0.008,-842.254,4.0806,131.4252,-6.2395,NA,NA,4.0444,4.1169
C7,-0.0028,0.2528,0.0047,25.4008,-6.9645,0.0046,0.0048,0.0047,0.0047
C8,0.0106,0.1942,0.0121,15.7854,-5.0802,0.0116,0.0125,0.0116,0.0125
C9,0.0061,0.1921,0.0185,19.4828,-5.715,0.0181,0.0189,0.0181,0.0189
C10,-2e-04,-0.062,0.0047,10.1838,-6.4713,0.0046,0.0049,0.0046,0.0049
D3,0.0071,-0.6828,0.009,37.262,-6.2471,0.0076,0.0115,0.0089,0.0091
D4,0.001,0.2028,0.0118,20.6935,-5.6253,0.0115,0.0122,0.0115,0.0122
D6,-0.005,-434.1263,1.0291,222.5223,-5.8741,NA,NA,1.0276,1.0306
D7,-0.0051,-876.8186,4.5056,127.5037,-6.3594,NA,NA,4.468,4.5433
D8,0.007,0.3807,0.0239,14.4234,-5.1151,0.0235,0.0244,0.0235,0.0244
D9,-0.0044,0.1864,0.0169,13.5899,-5.6616,0.0164,0.0175,0.0164,0.0174
D10,0.0064,0.2092,0.0175,16.7879,-5.4443,0.017,0.0179,0.017,0.0179
E2,-0.0103,-0.0473,0.0016,-2.7595,-6.7334,NA,NA,0.0016,0.0017
E3,0.0098,-0.7779,0.0093,43.0478,-7.0528,0.008,0.0113,0.0092,0.0094
E4,0.0065,-0.1926,0.0123,19.7609,-5.3258,0.0119,0.0127,0.0119,0.0127
E6,-0.0013,-464.3131,1.2997,195.8639,-5.7007,NA,NA,1.2976,1.3017
E7,5e-04,-543.3952,2.5921,126.9869,-5.6205,NA,NA,2.5553,2.6289
E8,-5e-04,0.437,0.0127,21.3365,-4.7702,0.0123,0.013,0.0123,0.013
E9,-1e-04,-0.1853,0.0175,11.8882,-5.5589,0.0169,0.0182,0.0168,0.0182
E10,-0.0055,0.1779,0.0116,16.7149,-5.7653,0.0113,0.0119,0.0113,0.0119
F3,0.0097,-0.084,0.0042,30.2655,-5.8647,0.004,0.0044,0.004,0.0044
F6,-0.0073,-0.3384,0.0046,25.7138,-6.523,0.0044,0.0049,0.0046,0.0047
F8,-0.0053,-0.1641,0.0131,15.0682,-6.0065,0.0129,0.0134,0.0129,0.0134
F9,0.0027,0.2184,0.01,8.4507,-5.7347,0.0098,0.0102,0.0098,0.0102
F11,-0.007,-51.4453,0.1404,173.9941,-6.3978,NA,NA,0.1401,0.1408
G3,0.0145,-0.2925,0.0223,23.4282,-5.0763,0.0215,0.0231,0.0215,0.0231
G6,-0.0186,1.8881,0.0091,41.4371,-6.4458,0.0069,0.0116,0.009,0.0092
G8,0.0025,0.2254,0.0184,14.4265,-5.5331,0.018,0.0188,0.018,0.0188
G9,0.0026,-0.2145,0.0094,8.9981,-5.6977,0.0092,0.0095,0.0092,0.0095
