Time,WT,3A,3B
0,0.138392687,0.003382879,0
4,0.273823499,0.018129287,0.005185767
8,0.983317769,0.060768657,0.032903609
12,2.042092882,0.059796257,0.027256227
16,3.388640292,0.046511674,0.017169237
20,4.925804399,0.033671459,0.017103964
24,5.850333939,0.037112562,0.020343127
28,5.883828642,0.035522324,0.016590594
32,6.841817339,0.023436117,0.013338462
36,6.710834807,0.084691682,0.063952869
40,6.578775217,0.286803817,0.327989982
44,6.780788902,1.709874124,1.982950112
48,6.015089904,3.354664272,2.494279227
52,6.160208957,3.041482402,2.088414854
56,6.169326827,3.088944507,2.041184537
