Time,WT,3A,3B
0,13839268.67,338287.9167,0
4,27382349.92,1812928.667,518576.6667
8,98331776.92,6076865.667,3290360.917
12,204209288.2,5979625.667,2725622.667
16,338864029.2,4651167.417,1716923.667
20,492580439.9,3367145.917,1710396.417
24,585033393.9,3711256.167,2034312.667
28,588382864.2,3552232.417,1659059.417
32,684181733.9,2343611.667,1333846.167
36,671083480.7,8469168.167,6395286.917
40,657877521.7,28680381.67,32798998.17
44,678078890.2,170987412.4,198295011.2
48,601508990.4,335466427.2,249427922.7
52,616020895.7,304148240.2,208841485.4
56,616932682.7,308894450.7,204118453.7
60,579591974.2,251985942.4,137639047.7
64,522887307.7,228237377.4,156140632.4
68,608594354.7,237163790.9,150700183.2
72,434838334.7,199048988.7,119365114.7
