Time,T,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,30,0.022814678,0.020906685,0.022642477,-0.006042314,0.043557974,0.060829561,0.049305761,0,0.022872662,0.045068285,0.028170877,0,0.048607699,0.040372455,0.068755595,0,0.12095261,0.055660847,0.095595121,0,0.107382761,0.125769387,0.128381167,0,0.052004785,0.133531393,0.059771743,0,0.071057921,0.048641807,0.062177245,0,0.078101588,0.04108686,0.044451763,0,0.042724945,0.089948237,0.064052021,0,0.037859411,0.010619569,0.078088437,0,0.057679112,0.038417016,0.113206369,-0.006079046
30,30,0.048790164,0.054808236,0.055673002,-0.006042314,0.094687321,0.124342967,0.14430349,0,0.052577816,0.101096117,0.070895822,0.006079046,0.125839047,0.099726698,0.142388846,0,0.237328186,0.096228032,0.120912929,0,0.217459411,0.248255152,0.255491385,0,0.120547105,0.285800604,0.138500908,0.006042314,0.177140198,0.100676666,0.130697191,-0.006079046,0.157745651,0.059975145,0.112329185,0,0.112477983,0.194501975,0.141283369,0,0.077318248,0.062088904,0.117218861,0,0.120556963,0.089835931,0.20098198,-0.006079046
45,30,0.074107972,0.084367039,0.084144677,-0.006042314,0.158056935,0.192720264,0.25651548,0,0.090860003,0.151106537,0.111869896,0.006079046,0.210031138,0.152544254,0.202286988,0,0.313245386,0.126350792,0.156387317,0,0.342814143,0.359762955,0.361117118,0,0.178756491,0.380083035,0.208544752,0,0.281851152,0.163453072,0.197922497,-0.006079046,0.204483129,0.098715973,0.207639365,0,0.177681177,0.310938935,0.187496213,0,0.123838263,0.117387544,0.130671978,0,0.171850257,0.131898206,0.247501995,-0.006079046
60,30,0.109199292,0.113077145,0.125387635,-0.006042314,0.220400065,0.26744381,0.354868259,0,0.143443544,0.221724105,0.165168478,0.006079046,0.307597382,0.235797237,0.269728269,0,0.374023582,0.161339783,0.182843886,0,0.461873503,0.466561285,0.454472687,0,0.228113388,0.46387587,0.271243346,0,0.400283749,0.222520304,0.286738231,-0.006079046,0.274996913,0.166374621,0.270934215,0,0.242012036,0.430635846,0.25304229,-0.006042314,0.157360955,0.172786324,0.176381785,0,0.233093882,0.187529902,0.302131963,-0.006079046
75,30,0.162903471,0.150118416,0.174658684,-0.006042314,0.307182478,0.336969873,0.453624737,0,0.21020676,0.313930299,0.222326891,0,0.42694414,0.315384675,0.343059542,0,0.435948125,0.203421729,0.221260902,0.012121361,0.572830574,0.566952578,0.541846317,0,0.288571357,0.549901734,0.338023827,0,0.510825624,0.287682072,0.373513508,-0.006079046,0.358633808,0.238477915,0.357723345,0,0.322773392,0.534082486,0.337027947,0,0.187133114,0.225276506,0.24820752,0,0.307025035,0.236113902,0.372979653,-0.006079046
90,30,0.244453338,0.182908239,0.221615667,-0.006042314,0.365879031,0.401974703,0.541400348,0,0.292170698,0.431137463,0.28870196,0,0.529049363,0.399203347,0.411378786,0,0.505094949,0.25168847,0.260674871,0.024097552,0.678875786,0.647445027,0.612961769,0,0.355606758,0.621061454,0.400622484,0,0.597643184,0.351051686,0.438863389,-0.006079046,0.455543846,0.30247281,0.444327141,0,0.408107118,0.627824038,0.42980968,-0.006042314,0.2340167,0.280539185,0.322598338,0,0.382281773,0.292240856,0.43249378,-0.006079046
105,30.1,0.330962581,0.225956493,0.272297154,-0.006042314,0.434713537,0.467386968,0.629811305,0,0.369700285,0.540177836,0.370859579,0.006079046,0.621688217,0.47653655,0.477537456,0,0.583810517,0.300229289,0.305546625,0.030032287,0.771007502,0.72859393,0.693147181,0,0.425430539,0.687492123,0.457241378,0,0.677521863,0.414767501,0.497912417,0,0.548752676,0.36874311,0.554608266,0,0.501256173,0.717839793,0.514709124,0,0.288485608,0.360581893,0.412210496,0,0.4442851,0.350914258,0.494946795,-0.006079046
120,30,0.42073258,0.288561967,0.328809364,-0.006042314,0.505331104,0.538996501,0.723371703,0,0.443300642,0.623394142,0.451985124,0.006079046,0.710241614,0.559080599,0.543730237,-0.006116227,0.660476398,0.35835703,0.359492288,0.041797129,0.863931453,0.809784084,0.764192738,0,0.497210222,0.762140052,0.519483687,0,0.753315702,0.49386009,0.551496663,0,0.642885346,0.439464766,0.666573429,0,0.593063722,0.804372816,0.601526684,0,0.35603165,0.464203925,0.512854022,0,0.513945751,0.413267488,0.561570823,-0.006079046
135,30.1,0.521537279,0.35244064,0.400363056,-0.006042314,0.580913786,0.619039208,0.816929034,0,0.517997786,0.708978646,0.546113969,0.012121361,0.793321859,0.629357443,0.615474142,-0.006116227,0.740235217,0.419950041,0.421017521,0.047628049,0.941082086,0.889120827,0.837958889,0,0.58024545,0.842992149,0.58818916,0,0.835601821,0.575948087,0.61058558,-0.006079046,0.736989818,0.522675664,0.778554708,0,0.67310643,0.884010583,0.69119976,0,0.454612479,0.576253429,0.60567423,0,0.586049045,0.475211974,0.627695,-0.006079046
