Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.054915758,0.025425098,0.016949558,0,0.038099846,0.025317808,0.077258483,-0.006389798,0.047252885,0,0.069714633,0,0.030174703,0.028927637,0.026787316,0,0.052965536,0.066425476,0.067593291,0,0.113686958,0.025658097,0.086357569,-0.006309169,0.047067511,0.045809536,0.062635571,0,0.090384061,0.030459207,0.074107972,0.021622464,0.063460354,0.038221213,0.024451096,0,0.017192401,0.017493157,0.046520016,0,0.027587957,-0.029413885,0.033825096,0,0.073611817,0.030930301,0.010752792,0
30,0.10697212,0.03375848,0.021142437,0,0.074801213,0.070131824,0.152428027,-0.006389798,0.109866478,0,0.112554791,0,0.055333263,0.04908961,0.082476222,0,0.114523429,0.111659318,0.143100844,0,0.191200638,0.047138636,0.132059722,-0.006309169,0.08834917,0.055710607,0.111425735,0,0.121978427,0.069679921,0.146797706,0.037537919,0.138261567,0.090971778,0.06701071,0,0.056194558,0.034685558,0.105360516,0,0.0588405,-0.059719235,0.066543391,0,0.142174489,0.046043939,0.016086138,-0.006557401
45,0.170151021,0.02960047,0.029475818,0,0.118861203,0.124408711,0.199574805,-0.006389798,0.174224347,0,0.147423617,0.006514681,0.09192271,0.064931526,0.162518929,0,0.196859715,0.131124653,0.193332969,0,0.244977035,0.071629656,0.164184209,-0.006309169,0.142029319,0.087228367,0.16763888,0,0.13623045,0.098117856,0.221432687,0.048009219,0.224521911,0.15970111,0.121077932,0,0.083150368,0.062698594,0.156415686,0,0.09763847,-0.080445365,0.116763148,0,0.180583937,0.060932551,0.026668247,-0.006557401
60,0.219912531,0.050219757,0.054067221,0,0.173382042,0.172299998,0.238289317,-0.006389798,0.234689542,0,0.159807676,0.006514681,0.121423375,0.097784722,0.254326479,0,0.272929434,0.154935301,0.243905543,0,0.280970638,0.094409684,0.195308752,-0.006309169,0.209394851,0.136132174,0.220859576,0,0.177806876,0.15267684,0.297251523,0.053204036,0.324080504,0.241162057,0.192990513,0,0.129912134,0.089948237,0.217838499,0,0.143100844,-0.090971778,0.162633602,0,0.220361908,0.080445365,0.02139119,-0.006557401
75,0.309617149,0.062390293,0.08594243,0,0.217301276,0.228258652,0.287682072,-0.006389798,0.296513924,0,0.184124984,0.012987196,0.172425929,0.142401787,0.363888681,0,0.367080865,0.191891008,0.310154928,0,0.320579776,0.126545414,0.230177578,-0.006309169,0.293688097,0.187084501,0.274284743,0.012820688,0.230682628,0.225203284,0.376561362,0.063513406,0.423688847,0.325903285,0.282719283,0,0.184246485,0.132059722,0.291642474,0,0.198124545,-0.075223421,0.213926896,0,0.25861794,0.090060824,0.026668247,-0.006557401
90,0.410827051,0.066414443,0.139390264,0,0.292524697,0.278020162,0.334749583,-0.006389798,0.338773734,0,0.213712941,0.012987196,0.227946005,0.197234266,0.47957308,0.006514681,0.447792245,0.234072622,0.379489622,0,0.363341635,0.171329016,0.28178235,-0.006309169,0.387908952,0.23762157,0.330479301,0,0.287006168,0.311871667,0.466257304,0.063513406,0.508063191,0.429700079,0.388825789,0.006514681,0.240335952,0.17246926,0.36772478,0,0.255707768,-0.085694721,0.266238191,0,0.30574708,0.132221635,0.016086138,-0.006557401
105,0.490458321,0.090225092,0.207639365,0,0.355703599,0.3254224,0.376949938,-0.006389798,0.385920512,0,0.245279407,0.019418086,0.282196595,0.258971967,0.570544858,0.006514681,0.509988453,0.280790246,0.439832752,0,0.406579314,0.21319322,0.335070695,-0.006309169,0.461432868,0.285727038,0.381089302,0,0.342247036,0.381116079,0.546093763,0.068628506,0.591610761,0.518587629,0.502873296,0,0.302029521,0.216059696,0.451985124,0,0.311862871,-0.080445365,0.327586215,0,0.348306694,0.163826974,0.005390849,-0.006557401
120,0.617797743,0.132457855,0.284471797,0,0.421516817,0.385320542,0.430582093,-0.012820688,0.451691826,0,0.30290852,0.019418086,0.339904913,0.310993151,0.627703272,0.006514681,0.566169282,0.335294149,0.488193823,0,0.456535412,0.254335164,0.385662481,-0.006309169,0.532280559,0.337216008,0.434199127,0,0.401854996,0.455726943,0.610786975,0.068628506,0.677508287,0.604954469,0.618658329,0.006514681,0.364161302,0.262364264,0.535905308,0,0.366648354,-0.070028604,0.388502481,0,0.405465108,0.194463944,0,-0.006557401
135,0.736546496,0.17658266,0.373624502,0,0.492206762,0.447312218,0.486434171,-0.012820688,0.524919387,0,0.367447041,0.025807884,0.404735447,0.37926892,0.684056209,0.006514681,0.632784031,0.398112134,0.552598215,0,0.514164525,0.301204098,0.440150666,-0.006309169,0.605039913,0.407199714,0.507779163,0,0.468313012,0.540284331,0.678076928,0.068628506,0.756607534,0.68226568,0.715179896,0.006514681,0.441419785,0.302280872,0.621884161,0,0.429266616,-0.049515065,0.447387414,0,0.463908704,0.228365495,-0.010869672,-0.006557401
150,0.880162008,0.232541314,0.460880947,0,0.552656818,0.508258228,0.548655194,-0.012820688,0.587786665,0,0.428071663,0.025807884,0.472462311,0.451222493,0.760932687,0.006514681,0.703553102,0.471033319,0.626274936,0,0.581823174,0.349470839,0.497799981,-0.006309169,0.68102582,0.479076925,0.578448736,0,0.547965171,0.648343904,0.75728498,0.068628506,0.840377418,0.751987681,0.803199642,0.006514681,0.513135094,0.340665115,0.711496319,0,0.482454927,-0.024451096,0.512658805,0,0.529402009,0.253058108,-0.016349138,-0.006557401
165,1.00276433,0.295164737,0.538640312,0,0.625367165,0.580160317,0.613773593,-0.012820688,0.648622102,0,0.494079692,0.032157112,0.544814699,0.517095237,0.838206889,0.012987196,0.786934711,0.538996501,0.70011585,0,0.63991573,0.398842567,0.556810737,-0.006309169,0.753535535,0.543111287,0.650422236,0,0.633282405,0.748299001,0.836248024,0.068628506,0.916290732,0.828570721,0.892241477,0.006514681,0.599281044,0.381654459,0.812692331,0,0.534323595,-0.009708814,0.575220786,0,0.594707108,0.288990117,-0.027398974,-0.006557401
180,1.111963622,0.366072706,0.620024916,0,0.695571424,0.649472117,0.672862509,-0.012820688,0.713898125,0,0.564246617,0.038466281,0.609908269,0.582414703,0.908112585,0.012987196,0.865657867,0.613104473,0.772113462,0,0.708085218,0.441125289,0.61571544,-0.006309169,0.824668522,0.608972685,0.723111969,0,0.707902646,0.830216123,0.912866071,0.068628506,0.991973818,0.899703708,0.983301442,0.006514681,0.681519143,0.42872197,0.893817876,0,0.583634051,0.01913934,0.642577912,0,0.657807814,0.319880604,-0.038572275,-0.006557401
195,1.206791409,0.446115414,0.705886206,0,0.781371414,0.724695538,0.738297145,-0.012820688,0.78845736,0,0.641283707,0.025807884,0.674372471,0.648123499,0.976862118,0.012987196,0.943531376,0.68348527,0.839273745,0,0.778066069,0.487790053,0.671342551,-0.006309169,0.904169371,0.673422675,0.802870788,0,0.779820663,0.908009111,0.985625425,0.073717576,1.068271572,0.974314572,1.075238937,0.006514681,0.760211411,0.480972661,0.968853062,0,0.639274191,0.028573372,0.709074707,0,0.727280187,0.360854678,-0.04987183,-0.006557401
210,1.303307134,0.555314706,0.78690215,0,0.860387954,0.794654127,0.815826732,-0.012820688,0.861936731,0,0.723371703,0.019418086,0.738074522,0.712867591,1.050726693,0.025807884,1.033794789,0.758286483,0.917688356,0,0.847775529,0.528733621,0.725937003,-0.006309169,0.986835277,0.746391695,0.883044531,0,0.850381903,0.987891883,1.062350158,0.073717576,1.139158383,1.05435728,1.165622999,0.006514681,0.830644686,0.516690743,1.044251079,0,0.696637585,0.033257222,0.769300896,0,0.796943974,0.41415326,-0.044206093,-0.006557401
225,1.39232453,0.640271429,0.863646998,0,0.945000838,0.870828358,0.892721986,-0.006389798,0.924002852,0,0.802470951,0.019418086,0.80483338,0.774640215,1.125399605,0.012987196,1.124766567,0.832670203,0.992992739,0,0.919629633,0.569468084,0.780403626,-0.006309169,1.064572242,0.821293003,0.968875967,0.00643089,0.921681581,1.079531051,1.147266777,0.068628506,1.206383689,1.128465252,1.256997273,0.006514681,0.896441861,0.57462858,1.117826854,0,0.744265634,0.009615459,0.830113036,0,0.860601826,0.458153589,-0.04987183,-0.006557401
240,1.456361924,0.72690566,0.939940483,0,1.023009548,0.946596081,0.9564378,-0.012820688,0.977598232,0,0.874264643,0.038466281,0.867413037,0.837365499,1.208487485,0.012987196,1.209397395,0.904129167,1.066637984,0,0.987911141,0.609953888,0.834612701,-0.006309169,1.144401844,0.88238918,1.04925162,0.00643089,0.990244252,1.169893491,1.22803983,0.068628506,1.271309132,1.205270663,1.340716853,0.012987196,0.971391796,0.629392666,1.178247913,0,0.792897583,-0.014598799,0.882705486,0,0.93145298,0.506628346,-0.055569851,-0.006557401
255,1.519195515,0.802790358,1.017025179,0,1.1082742,1.023188527,1.023577103,-0.006389798,1.030770828,0,0.946865456,0.025807884,0.928902336,0.897242537,1.281436484,0.025807884,1.287421357,0.973937427,1.132979932,0,1.052994345,0.650156996,0.879545384,-0.006309169,1.213565204,0.944027487,1.123644885,0,1.055347373,1.252762968,1.305093576,0.068628506,1.334093214,1.275386985,1.427512317,0.012987196,1.028793312,0.663294217,1.241360336,0,0.833213121,-0.009708814,0.934473051,0,0.99761467,0.570772467,-0.044206093,-0.006557401
270,1.58907061,0.887555625,1.094329627,0,1.186836522,1.104294122,1.095931322,-0.006389798,1.091056937,0,1.023670867,0.019418086,0.982742083,0.953735962,1.352938767,0.012987196,1.364082977,1.037243342,1.196250758,0,1.114099324,0.686316977,0.923324759,-0.006309169,1.282717172,1.005902891,1.203212059,0,1.115584559,1.329287543,1.375553119,0.068628506,1.38543192,1.346554032,1.505176902,0.006514681,1.086984251,0.70774598,1.290587277,0,0.871966107,-0.004842624,0.98540592,0,1.052422906,0.628259558,-0.044206093,-0.006557401
285,1.646640461,0.981901639,1.171396634,0,1.261050309,1.174042138,1.170901817,-0.006389798,1.154036823,0,1.101016136,0.044735894,1.025233445,1.001063406,1.41966787,0.025807884,1.422250982,1.097696118,1.261713799,0,1.179940509,0.718805277,0.964520515,-0.006309169,1.351561554,1.063272922,1.279030895,0,1.170723416,1.409225302,1.444401992,0.063513406,1.435905207,1.412991088,1.582341423,0.006514681,1.140127684,0.744734549,1.340278124,0,0.915824423,0.060908753,1.033869873,0,1.111263406,0.711305916,-0.038572275,-0.006557401
300,1.6862496,1.059219887,1.242946939,0,1.34035208,1.251541221,1.244119872,-0.006389798,1.204617758,0,1.168326921,0.038466281,1.067498668,1.044040242,1.480163767,0.032157112,1.48767206,1.153835579,1.32035626,0,1.236870508,0.744997251,1.00981679,-0.006309169,1.416944313,1.119231576,1.346541187,0,1.224570028,1.480901388,1.508814497,0.063513406,1.480035913,1.473305738,1.652080032,0.006514681,1.174645189,0.777704569,1.363550906,0,0.940699035,0.092231224,1.076973114,0,1.160325642,0.790359406,-0.061300526,-0.006557401
315,1.714959705,1.136511561,1.309717861,0,1.416183018,1.31775926,1.302563468,-0.006389798,1.25091795,0,1.237693834,0.044735894,1.106603613,1.082409046,1.543994004,0.025807884,1.556160709,1.207811581,1.378396119,0,1.296237915,0.768227099,1.04972408,-0.006309169,1.473723991,1.16980182,1.411635933,0,1.272641299,1.556515511,1.571105693,0.058372006,1.524555928,1.534863631,1.715491257,0.006514681,1.223435353,0.809622172,1.399435155,0,0.977326622,0.126866721,1.113787087,0,1.210203354,0.825368815,-0.04987183,-0.006557401
330,1.744278931,1.208255466,1.377710617,0,1.492140196,1.387362167,1.358811715,-0.006389798,1.296934187,0,1.301577691,0.038466281,1.142143957,1.117304422,1.597603455,0.025807884,1.596806166,1.255897767,1.429909654,0,1.349678947,0.788682358,1.08941984,0,1.531801945,1.218707464,1.47013214,0,1.321395415,1.625798196,1.627227454,0.058372006,1.565017497,1.590206551,1.77512015,0.006514681,1.276427884,0.860653652,1.441613931,0,1.013506279,0.143744759,1.150746208,0,1.267534286,0.876776782,-0.04987183,-0.006557401
345,1.776864136,1.285928504,1.442383828,0,1.559676403,1.451433663,1.420831588,-0.006389798,1.343454202,0,1.360698814,0.050966444,1.174438072,1.151685968,1.654558348,0.025807884,1.629322578,1.300281486,1.482081223,0,1.401232398,0.808176152,1.123783027,0,1.583399012,1.264597426,1.527873134,0.00643089,1.361669314,1.688687284,1.681162093,0.053204036,1.601822784,1.640130859,1.829805337,0.019418086,1.317507909,0.899682995,1.465115322,0,1.050870526,0.164449432,1.188486536,0,1.300229506,0.923593842,-0.044206093,-0.006557401
360,1.798457418,1.367885612,1.505026614,0,1.618137822,1.512588086,1.477397089,-0.006389798,1.390318511,0,1.420887611,0.038466281,1.208339623,1.182357214,1.702689207,0.025807884,1.676588083,1.345644055,1.529395205,0,1.450257884,0.825130346,1.155153228,0,1.630106375,1.308473576,1.582461325,0,1.405699453,1.753225805,1.732336049,0.048009219,1.639331443,1.695655324,1.884666524,0.019418086,1.356966746,0.939547594,1.492844645,0.006514681,1.081370482,0.188742125,1.219448762,0,1.344640134,0.999630455,-0.005420067,-0.006557401
375,1.824809404,1.438552855,1.562185028,0,1.674279786,1.563975538,1.535268153,-0.006389798,1.432777719,0,1.475184237,0.025807884,1.241129446,1.215851656,1.753322762,0.025807884,1.720971802,1.383543328,1.574571343,0,1.496991781,0.84180188,1.183770097,0,1.679233674,1.34847891,1.633481144,0,1.443415237,1.81048342,1.781018227,0.048009219,1.674191928,1.742211442,1.931664894,0.019418086,1.414786317,0.973449146,1.523291962,0.006514681,1.108662625,0.250777516,1.24882337,0,1.386294361,1.016822856,-0.005420067,-0.006557401
390,1.843489496,1.493048755,1.617100785,0,1.726573489,1.613702311,1.58257427,-0.006389798,1.473507331,0,1.524328238,0.044735894,1.269194899,1.244643844,1.797024619,0.032157112,1.762033289,1.420722331,1.617794507,0,1.540206121,0.857675229,1.209837924,0,1.720325295,1.384339326,1.680608386,0,1.480375284,1.86862505,1.82537608,0.037537919,1.704120936,1.785244788,1.975867109,0.006514681,1.473426155,1.025408885,1.544969936,0.006514681,1.140459399,0.250777516,1.277359678,0,1.432103897,1.061274618,0.010752792,-0.006557401
405,1.86307938,1.547471189,1.662695089,0,1.778729969,1.661884388,1.630892847,-0.006389798,1.507655218,0,1.568916715,0.038466281,1.294697192,1.272042818,1.841052272,0.038466281,1.800092851,1.456568463,1.657895021,0,1.582317606,0.872783617,1.228378432,0.006269613,1.761176046,1.41832785,1.722902384,0,1.513046067,1.920554577,1.866528598,0.032260862,1.732570598,1.827199039,2.016222282,0.006514681,1.512392123,1.080807664,1.579360457,0.006514681,1.163296487,0.284052304,1.300116665,0,1.470335475,1.117627555,0.037139547,-0.006557401
420,1.8816788,1.602547274,1.712488069,0,1.825957633,1.712488069,1.671714842,0,1.540675429,0,1.610159674,0.038466281,1.316636999,1.291822404,1.879085025,0.032157112,1.830738763,1.487456516,1.693239014,0,1.622727145,0.885116765,1.24601758,0.006269613,1.797099936,1.449366965,1.761522363,0,1.540058866,1.969920033,1.904782858,0.016260521,1.756668149,1.864113688,2.054377573,0.006514681,1.564513101,1.118030375,1.613661784,0.006514681,1.194840321,0.330241687,1.323589021,0,1.494775004,1.185478222,0.082949083,-0.006557401
435,1.895101821,1.652283609,1.758447193,0,1.868061058,1.756973353,1.707300509,-0.006389798,1.5719705,0,1.649768812,0.032157112,1.336382123,1.310087752,1.919713497,0.025807884,1.866962677,1.51561015,1.725510084,0,1.657112628,0.897299656,1.263905145,0.006269613,1.833063275,1.479471586,1.799963996,0,1.566361126,2.01559007,1.940400493,0.010869672,1.780779873,1.89971402,2.089293838,0.006514681,1.618643961,1.159467564,1.646825445,0.006514681,1.221304261,0.377708224,1.348311414,0.006472515,1.534474874,1.23541059,0.14562019,0
450,1.909542505,1.713681925,1.797441303,0,1.903410836,1.798856731,1.745175705,0.006349228,1.599713363,0,1.68586398,0.025807884,1.358561025,1.329135947,1.95235347,0.032157112,1.895654476,1.541229662,1.754960065,0,1.688502524,0.910332422,1.278206819,0.012500163,1.865293553,1.504655933,1.832125086,0.00643089,1.589235205,2.059922379,1.970036772,-0.010989122,1.801482165,1.931584149,2.121846441,0.012987196,1.67433764,1.22895232,1.670000285,0.006514681,1.24909324,0.448024723,1.370109037,0,1.573378863,1.295945675,0.164139238,0.075507553
