Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.241121495,0.197718631,0.254901961,0.306818182,0,0.425120773,0.222591362,0,0.463276836,0.151111111,0.244019139,0.008403361,0.280373832,0.257575758,0.407142857,0,0.150485437,0.267303103,0.107798165,-0.040650407,0.352422907,0.166344294,0.22029703,0,0.058510638,0.393873085,0.147727273,0.008547009,0.359183673,0.250965251,0.190243902,0,0.225967541,0.208754209,0.260775862,0.00862069,0.252212389,0.174097665,0.152083333,0
30,0.51588785,0.452471483,0.564705882,0.643939394,0,0.859903382,0.471760797,0,0.892655367,0.351111111,0.626794258,0.008403361,0.476635514,0.511363636,0.764285714,0,0.378640777,0.357995227,0.21559633,-0.040650407,0.797356828,0.290135397,0.386138614,0.00862069,0.119680851,0.704595186,0.454545455,0.008547009,0.885714286,0.61003861,0.463414634,0,0.397003745,0.420875421,0.5625,0.00862069,0.491150442,0.348195329,0.322916667,0
45,0.794392523,0.733840304,0.917647059,0.977272727,0,1.231884058,0.717607973,0,1.259887006,0.577777778,1.04784689,0.008403361,0.607476636,0.700757576,1.042857143,0,0.650485437,0.412887828,0.332568807,-0.032520325,1.202643172,0.386847195,0.492574257,0.00862069,0.188829787,0.947483589,0.903409091,0.008547009,1.371428571,0.945945946,0.790243902,0,0.549313358,0.764309764,0.739224138,0.00862069,0.637168142,0.520169851,0.491666667,0.008474576
60,1.005607477,1.02661597,1.254901961,1.303030303,0.008403361,1.555555556,0.926910299,0,1.446327684,0.782222222,1.401913876,0.008403361,0.732087227,0.863636364,1.278571429,0,1.004854369,0.491646778,0.481651376,-0.032520325,1.519823789,0.489361702,0.586633663,0.017241379,0.265957447,1.164113786,1.414772727,0.008547009,1.706122449,1.22007722,1.185365854,0,0.696629213,1.198653199,0.872844828,0.00862069,0.721238938,0.664543524,0.6625,0.008474576
75,1.186915888,1.30418251,1.6,1.617424242,0.008403361,1.84057971,1.142857143,0.008474576,1.367231638,0.964444444,1.66507177,0.008403361,0.85046729,1.022727273,1.482142857,0,1.354368932,0.591885442,0.614678899,-0.032520325,1.814977974,0.617021277,0.690594059,0.00862069,0.337765957,1.365426696,1.926136364,0.008547009,1.975510204,1.424710425,1.546341463,0,0.822721598,1.572390572,0.978448276,0.00862069,0.805309735,0.815286624,0.822916667,0.008474576
90,1.357009346,1.615969582,1.937254902,1.920454545,0.008403361,2.096618357,1.365448505,0.008474576,1.276836158,1.12,1.933014354,0.016806723,0.981308411,1.166666667,1.689285714,0,1.59223301,0.711217184,0.736238532,-0.024390244,2.118942731,0.758220503,0.806930693,0.00862069,0.446808511,1.577680525,2.414772727,0.008547009,2.220408163,1.621621622,1.834146341,0,0.928838951,1.912457912,1.103448276,0.00862069,0.933628319,1.006369427,0.997916667,0.008474576
105,1.495327103,1.931558935,2.305882353,2.193181818,0,2.362318841,1.604651163,0.016949153,1.13559322,1.28,2.186602871,0.008403361,1.105919003,1.314393939,1.9,0,1.757281553,0.835322196,0.853211009,-0.032520325,2.378854626,0.895551257,0.920792079,0,0.561170213,1.765864333,2.892045455,0.008547009,2.485714286,1.822393822,2.087804878,0,1.003745318,2.191919192,1.219827586,0,1.057522124,1.201698514,1.170833333,0.008474576
120,1.588785047,2.27756654,2.662745098,2.492424242,0.008403361,2.608695652,1.853820598,0.008474576,1.118644068,1.448888889,2.440191388,0.008403361,1.246105919,1.46969697,2.092857143,0.008333333,1.980582524,0.985680191,0.97706422,-0.040650407,2.621145374,0.998065764,1.042079208,0,0.70212766,1.914660832,3.340909091,0,2.72244898,2.030888031,2.312195122,0,1.062421973,2.424242424,1.340517241,0,1.199115044,1.401273885,1.335416667,0
135,1.680373832,2.631178707,3.007843137,2.768939394,0.008403361,2.874396135,2.109634551,-0.008474576,1.18079096,1.608888889,2.698564593,0.008403361,1.3894081,1.647727273,2.260714286,0,2.281553398,1.164677804,1.128440367,-0.040650407,2.876651982,1.098646035,1.155940594,0,0.853723404,2.04595186,3.795454545,0,2.930612245,2.254826255,2.56097561,0,1.109862672,2.653198653,1.456896552,0,1.389380531,1.592356688,1.48125,0
150,1.757009346,2.954372624,3.31372549,3.022727273,0,3.125603865,2.358803987,0,1.242937853,1.795555556,2.947368421,0.008403361,1.535825545,1.825757576,2.45,0,2.587378641,1.338902148,1.28440367,-0.040650407,3.154185022,1.212765957,1.29950495,0.00862069,0.994680851,2.157549234,4.1875,0,3.208163265,2.467181467,2.824390244,0,1.157303371,2.882154882,1.575431034,0,1.601769912,1.757961783,1.614583333,0
