Time,A1,A3,A4,D2,E1
0,0.535,0.255,0.264,0.457,0.801
15,0.664,0.32,0.345,0.637,0.982
30,0.811,0.399,0.434,0.779,1.119
45,0.96,0.489,0.522,0.89,1.241
60,1.073,0.575,0.608,0.989,1.359
75,1.17,0.663,0.691,1.081,1.46
90,1.261,0.749,0.771,1.178,1.545
105,1.335,0.843,0.843,1.264,1.605
120,1.385,0.934,0.922,1.332,1.652
135,1.434,1.022,0.995,1.392,1.69
150,1.475,1.1,1.062,1.443,1.728
165,1.517,1.169,1.132,1.49,1.769
180,1.548,1.238,1.192,1.532,1.796
195,1.576,1.297,1.252,1.57,1.828
210,1.606,1.35,1.307,1.621,1.859
225,1.624,1.405,1.364,1.66,1.892
240,1.628,1.454,1.417,1.704,1.921
255,1.624,1.499,1.462,1.737,1.951
270,1.614,1.546,1.511,1.776,1.979
285,1.582,1.587,1.552,1.81,2.007
300,1.562,1.625,1.596,1.841,2.032
315,1.534,1.66,1.634,1.871,2.051
330,1.733,1.694,1.672,1.898,2.071
345,1.853,1.73,1.71,1.922,2.092
360,1.905,1.763,1.745,1.945,2.107
375,1.905,1.79,1.774,1.969,2.124
390,1.904,1.819,1.803,1.987,2.134
405,1.936,1.842,1.83,2.006,2.152
420,1.806,1.865,1.861,2.023,2.16
435,1.605,1.885,1.884,2.04,2.167
450,1.915,1.906,1.907,2.053,2.185
465,1.774,1.928,1.927,2.068,2.192
480,1.788,1.939,1.946,2.082,2.213
495,1.498,1.964,1.965,2.094,2.24
510,1.925,1.972,1.982,2.103,2.254
525,1.997,1.985,1.997,2.111,2.26
540,1.971,1.993,2.007,2.121,2.264
555,1.979,2,2.02,2.127,2.268
570,2.088,2.012,2.03,2.136,2.27
585,2.138,2.01,2.039,2.145,2.273
600,2.17,2.013,2.042,2.15,2.274
615,2.202,2.01,2.041,2.155,2.275
630,2.204,2.003,2.041,2.159,2.274
645,2.192,1.989,2.044,2.165,2.276
660,2.131,1.976,2.037,2.171,2.275
675,2.171,1.938,2.039,2.175,2.275
690,2.207,1.874,2.046,2.174,2.277
705,2.218,1.742,2.143,2.173,2.274
720,2.214,1.984,2.185,2.176,2.272
735,2.215,2.111,2.21,2.178,2.27
750,2.217,2.16,2.223,2.176,2.269
765,2.217,2.19,2.234,2.173,2.267
780,2.217,2.204,2.238,2.172,2.265
795,2.221,2.216,2.24,2.171,2.267
810,2.224,2.224,2.244,2.17,2.266
825,2.23,2.229,2.247,2.167,2.265
840,2.232,2.233,2.249,2.166,2.265
855,2.233,2.233,2.249,2.163,2.266
870,2.233,2.236,2.252,2.163,2.266
885,2.235,2.239,2.251,2.162,2.265
900,2.233,2.241,2.25,2.161,2.264
915,2.234,2.241,2.252,2.157,2.263
930,2.234,2.243,2.252,2.157,2.263
945,2.233,2.244,2.253,2.156,2.261
960,2.229,2.244,2.252,2.154,2.262
975,2.228,2.245,2.252,2.152,2.259
990,2.226,2.245,2.252,2.151,2.257
1005,2.225,2.245,2.252,2.149,2.256
1020,2.224,2.245,2.252,2.147,2.254
1035,2.222,2.245,2.253,2.145,2.254
1050,2.22,2.248,2.252,2.143,2.253
1065,2.219,2.248,2.254,2.141,2.252
1080,2.217,2.247,2.254,2.138,2.251
1095,2.216,2.248,2.254,2.137,2.25
1110,2.214,2.248,2.254,2.134,2.248
1125,2.212,2.25,2.254,2.131,2.246
1140,2.21,2.249,2.253,2.131,2.245
1155,2.209,2.249,2.253,2.13,2.244
1170,2.208,2.251,2.254,2.126,2.243
1185,2.208,2.251,2.254,2.124,2.241
1200,2.205,2.251,2.254,2.123,2.241
1215,2.205,2.251,2.253,2.12,2.24
1230,2.204,2.253,2.252,2.119,2.238
1245,2.203,2.252,2.252,2.116,2.238
1260,2.202,2.252,2.252,2.114,2.237
1275,2.202,2.253,2.252,2.114,2.237
1290,2.201,2.253,2.252,2.11,2.234
1305,2.199,2.255,2.251,2.107,2.234
1320,2.197,2.251,2.251,2.105,2.232
1335,2.195,2.253,2.25,2.103,2.232
1350,2.195,2.251,2.249,2.103,2.231
1365,2.193,2.252,2.249,2.099,2.228
1380,2.191,2.252,2.25,2.094,2.228
1395,2.19,2.251,2.25,2.092,2.227
1410,2.188,2.251,2.248,2.092,2.226
1425,2.184,2.252,2.249,2.089,2.225
1440,2.182,2.25,2.248,2.086,2.223
