Time,A1,A3,A4,D2,E1
0,0.535,0.255,0.264,0.457,0.801
15,0.664,0.32,0.345,0.637,0.982
30,0.811,0.399,0.434,0.779,1.119
45,0.96,0.489,0.522,0.89,1.241
60,1.073,0.575,0.608,0.989,1.359
75,1.17,0.663,0.691,1.081,1.46
90,1.261,0.749,0.771,1.178,1.545
105,1.335,0.843,0.843,1.264,1.605
120,1.385,0.934,0.922,1.332,1.652
135,1.434,1.022,0.995,1.392,1.69
150,1.475,1.1,1.062,1.443,1.728
165,1.517,1.169,1.132,1.49,1.769
180,1.548,1.238,1.192,1.532,1.796
195,1.576,1.297,1.252,1.57,1.828
210,1.606,1.35,1.307,1.621,1.859
225,1.624,1.405,1.364,1.66,1.892
240,1.628,1.454,1.417,1.704,1.921
255,1.624,1.499,1.462,1.737,1.951
270,1.614,1.546,1.511,1.776,1.979
285,1.582,1.587,1.552,1.81,2.007
300,1.562,1.625,1.596,1.841,2.032
315,1.534,1.66,1.634,1.871,2.051
330,1.733,1.694,1.672,1.898,2.071
345,1.853,1.73,1.71,1.922,2.092
360,1.905,1.763,1.745,1.945,2.107
375,1.905,1.79,1.774,1.969,2.124
390,1.904,1.819,1.803,1.987,2.134
405,1.936,1.842,1.83,2.006,2.152
420,1.806,1.865,1.861,2.023,2.16
435,1.605,1.885,1.884,2.04,2.167
450,1.915,1.906,1.907,2.053,2.185
465,1.774,1.928,1.927,2.068,2.192
480,1.788,1.939,1.946,2.082,2.213
495,1.498,1.964,1.965,2.094,2.24
510,1.925,1.972,1.982,2.103,2.254
525,1.997,1.985,1.997,2.111,2.26
540,1.971,1.993,2.007,2.121,2.264
555,1.979,2,2.02,2.127,2.268
570,2.088,2.012,2.03,2.136,2.27
585,2.138,2.01,2.039,2.145,2.273
600,2.17,2.013,2.042,2.15,2.274
