Time,A1,A2,A3,A5,A6,A7,F1,F2,F3,F5,F6,F7
0,0.162,0.146,0.149,0.148,0.15,0.154,0.204,0.262,0.241,0.228,0.196,0.256
15,0.167,0.149,0.15,0.152,0.152,0.158,0.208,0.267,0.247,0.235,0.202,0.27
30,0.17,0.151,0.152,0.155,0.156,0.163,0.204,0.26,0.246,0.244,0.21,0.278
45,0.172,0.153,0.155,0.159,0.161,0.17,0.205,0.262,0.251,0.249,0.217,0.283
60,0.172,0.155,0.16,0.167,0.169,0.176,0.21,0.269,0.262,0.255,0.225,0.292
75,0.179,0.159,0.164,0.176,0.176,0.182,0.218,0.276,0.276,0.266,0.234,0.309
90,0.185,0.165,0.171,0.187,0.183,0.192,0.226,0.287,0.297,0.281,0.25,0.351
105,0.195,0.17,0.178,0.199,0.194,0.204,0.239,0.3,0.32,0.3,0.269,0.404
120,0.213,0.176,0.185,0.213,0.207,0.217,0.26,0.325,0.35,0.334,0.312,0.441
135,0.23,0.183,0.191,0.229,0.222,0.234,0.283,0.355,0.387,0.371,0.366,0.483
150,0.25,0.191,0.198,0.246,0.242,0.251,0.307,0.384,0.422,0.404,0.421,0.524
165,0.271,0.201,0.207,0.261,0.267,0.274,0.334,0.414,0.453,0.442,0.471,0.57
180,0.292,0.21,0.221,0.278,0.288,0.299,0.363,0.45,0.494,0.483,0.512,0.612
195,0.305,0.222,0.233,0.297,0.315,0.325,0.405,0.495,0.549,0.526,0.557,0.657
210,0.317,0.235,0.248,0.315,0.342,0.349,0.448,0.542,0.601,0.576,0.608,0.713
225,0.32,0.252,0.267,0.339,0.37,0.376,0.49,0.586,0.651,0.633,0.66,0.768
240,0.345,0.271,0.288,0.366,0.401,0.404,0.536,0.638,0.705,0.687,0.719,0.82
255,0.392,0.295,0.311,0.396,0.439,0.436,0.595,0.699,0.768,0.746,0.773,0.874
270,0.413,0.327,0.342,0.429,0.479,0.471,0.653,0.763,0.836,0.807,0.827,0.928
285,0.397,0.36,0.377,0.467,0.522,0.513,0.711,0.83,0.897,0.872,0.889,0.99
300,0.443,0.398,0.412,0.512,0.573,0.56,0.769,0.89,0.961,0.935,0.954,1.047
315,0.662,0.442,0.461,0.563,0.629,0.612,0.826,0.954,1.024,0.995,1.016,1.105
330,0.783,0.51,0.508,0.625,0.695,0.672,0.889,1.02,1.093,1.055,1.073,1.157
345,0.961,0.6,0.575,0.701,0.769,0.749,0.956,1.089,1.16,1.112,1.135,1.206
360,1.108,0.693,0.646,0.778,0.846,0.825,1.022,1.157,1.228,1.177,1.192,1.259
375,1.211,0.802,0.741,0.868,0.926,0.911,1.081,1.222,1.291,1.23,1.254,1.316
390,1.272,0.915,0.855,0.968,1.02,1.016,1.142,1.284,1.353,1.29,1.306,1.361
405,1.396,1.046,0.975,1.057,1.1,1.11,1.202,1.345,1.41,1.343,1.363,1.407
420,1.504,1.128,1.057,1.144,1.183,1.206,1.261,1.403,1.466,1.398,1.408,1.455
435,1.555,1.171,1.106,1.237,1.269,1.298,1.323,1.457,1.518,1.449,1.456,1.498
450,1.631,1.187,1.143,1.31,1.345,1.376,1.378,1.509,1.569,1.499,1.505,1.541
465,1.646,1.208,1.186,1.378,1.416,1.455,1.43,1.558,1.617,1.542,1.547,1.58
480,1.722,1.158,1.218,1.44,1.481,1.524,1.48,1.601,1.66,1.584,1.589,1.616
495,1.747,1.209,1.248,1.5,1.534,1.572,1.527,1.646,1.697,1.628,1.627,1.66
510,1.783,1.254,1.357,1.542,1.584,1.614,1.569,1.687,1.734,1.669,1.668,1.692
525,1.777,1.476,1.506,1.581,1.626,1.643,1.607,1.723,1.771,1.7,1.704,1.72
540,1.817,1.347,1.455,1.629,1.665,1.683,1.644,1.762,1.804,1.74,1.736,1.751
555,1.843,1.231,1.426,1.678,1.703,1.712,1.678,1.793,1.84,1.777,1.771,1.779
570,1.836,1.206,1.448,1.708,1.737,1.73,1.71,1.827,1.87,1.814,1.801,1.803
585,1.861,1.258,1.473,1.74,1.768,1.753,1.743,1.858,1.901,1.849,1.821,1.815
600,1.824,1.278,1.509,1.772,1.796,1.77,1.771,1.881,1.927,1.89,1.855,1.839
