Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.162,0.146,0.149,0.113,0.148,0.15,0.154,0.112,0.225,0.269,0.273,0.112,0.241,0.331,0.224,0.112,0.241,0.271,0.254,0.114,0.226,0.227,0.284,0.113,0.25,0.235,0.286,0.113,0.258,0.257,0.195,0.113,0.295,0.202,0.293,0.113,0.227,0.222,0.244,0.112,0.204,0.262,0.241,0.112,0.228,0.196,0.256,0.113
15,0.167,0.149,0.15,0.113,0.152,0.152,0.158,0.112,0.239,0.275,0.283,0.112,0.248,0.336,0.243,0.112,0.253,0.3,0.274,0.114,0.259,0.241,0.32,0.113,0.267,0.25,0.314,0.113,0.275,0.293,0.206,0.113,0.325,0.214,0.311,0.113,0.249,0.232,0.255,0.113,0.208,0.267,0.247,0.112,0.235,0.202,0.27,0.113
30,0.17,0.151,0.152,0.113,0.155,0.156,0.163,0.112,0.253,0.287,0.296,0.112,0.26,0.344,0.267,0.112,0.261,0.325,0.297,0.114,0.294,0.257,0.358,0.113,0.279,0.262,0.333,0.113,0.292,0.33,0.217,0.113,0.331,0.224,0.309,0.113,0.27,0.251,0.276,0.112,0.204,0.26,0.246,0.115,0.244,0.21,0.278,0.113
45,0.172,0.153,0.155,0.113,0.159,0.161,0.17,0.112,0.273,0.308,0.322,0.112,0.272,0.355,0.294,0.112,0.276,0.352,0.316,0.114,0.337,0.27,0.389,0.113,0.294,0.284,0.337,0.113,0.304,0.367,0.234,0.113,0.348,0.241,0.322,0.113,0.291,0.27,0.297,0.112,0.205,0.262,0.251,0.112,0.249,0.217,0.283,0.113
60,0.172,0.155,0.16,0.113,0.167,0.169,0.176,0.112,0.307,0.327,0.349,0.113,0.289,0.369,0.32,0.112,0.292,0.393,0.35,0.114,0.379,0.287,0.419,0.113,0.312,0.309,0.349,0.113,0.327,0.417,0.256,0.113,0.377,0.258,0.33,0.113,0.308,0.285,0.312,0.113,0.21,0.269,0.262,0.112,0.255,0.225,0.292,0.113
75,0.179,0.159,0.164,0.113,0.176,0.176,0.182,0.112,0.364,0.352,0.386,0.113,0.302,0.387,0.353,0.113,0.32,0.437,0.39,0.114,0.421,0.309,0.453,0.113,0.329,0.327,0.375,0.113,0.351,0.466,0.281,0.113,0.411,0.28,0.343,0.113,0.329,0.301,0.331,0.113,0.218,0.276,0.276,0.112,0.266,0.234,0.309,0.113
90,0.185,0.165,0.171,0.113,0.187,0.183,0.192,0.112,0.418,0.379,0.418,0.112,0.316,0.409,0.391,0.112,0.353,0.469,0.428,0.114,0.456,0.332,0.485,0.113,0.359,0.365,0.412,0.113,0.378,0.507,0.31,0.113,0.431,0.303,0.36,0.113,0.351,0.321,0.353,0.113,0.226,0.287,0.297,0.112,0.281,0.25,0.351,0.113
105,0.195,0.17,0.178,0.113,0.199,0.194,0.204,0.112,0.468,0.405,0.446,0.112,0.325,0.425,0.422,0.112,0.38,0.499,0.456,0.114,0.489,0.352,0.515,0.113,0.399,0.4,0.446,0.113,0.405,0.543,0.339,0.113,0.457,0.325,0.38,0.113,0.371,0.338,0.371,0.113,0.239,0.3,0.32,0.112,0.3,0.269,0.404,0.113
120,0.213,0.176,0.185,0.113,0.213,0.207,0.217,0.112,0.531,0.436,0.481,0.112,0.346,0.449,0.45,0.112,0.409,0.534,0.488,0.114,0.533,0.379,0.554,0.113,0.444,0.434,0.475,0.113,0.436,0.584,0.363,0.113,0.5,0.356,0.416,0.113,0.392,0.359,0.392,0.113,0.26,0.325,0.35,0.112,0.334,0.312,0.441,0.113
135,0.23,0.183,0.191,0.113,0.229,0.222,0.234,0.112,0.606,0.477,0.527,0.112,0.369,0.484,0.486,0.112,0.448,0.583,0.533,0.114,0.584,0.411,0.601,0.113,0.502,0.486,0.524,0.113,0.471,0.635,0.394,0.113,0.546,0.394,0.461,0.113,0.424,0.388,0.419,0.112,0.283,0.355,0.387,0.112,0.371,0.366,0.483,0.113
150,0.25,0.191,0.198,0.113,0.246,0.242,0.251,0.112,0.671,0.522,0.571,0.112,0.397,0.52,0.524,0.112,0.493,0.644,0.585,0.114,0.633,0.444,0.65,0.113,0.561,0.547,0.582,0.113,0.511,0.689,0.43,0.113,0.591,0.43,0.5,0.113,0.467,0.423,0.459,0.113,0.307,0.384,0.422,0.112,0.404,0.421,0.524,0.113
165,0.271,0.201,0.207,0.113,0.261,0.267,0.274,0.112,0.73,0.561,0.615,0.112,0.426,0.556,0.568,0.112,0.536,0.699,0.638,0.114,0.681,0.48,0.701,0.113,0.613,0.605,0.636,0.113,0.556,0.744,0.47,0.113,0.633,0.465,0.539,0.113,0.508,0.466,0.504,0.113,0.334,0.414,0.453,0.112,0.442,0.471,0.57,0.113
180,0.292,0.21,0.221,0.113,0.278,0.288,0.299,0.112,0.785,0.602,0.658,0.113,0.458,0.596,0.611,0.112,0.585,0.758,0.691,0.115,0.732,0.517,0.752,0.113,0.663,0.655,0.684,0.112,0.6,0.796,0.51,0.113,0.683,0.511,0.586,0.113,0.549,0.502,0.546,0.113,0.363,0.45,0.494,0.112,0.483,0.512,0.612,0.114
195,0.305,0.222,0.233,0.113,0.297,0.315,0.325,0.112,0.853,0.649,0.708,0.112,0.492,0.637,0.655,0.112,0.64,0.821,0.75,0.114,0.792,0.561,0.804,0.113,0.719,0.712,0.738,0.112,0.651,0.854,0.553,0.113,0.748,0.569,0.648,0.113,0.591,0.54,0.587,0.113,0.405,0.495,0.549,0.112,0.526,0.557,0.657,0.113
210,0.317,0.235,0.248,0.113,0.315,0.342,0.349,0.112,0.926,0.703,0.766,0.112,0.536,0.689,0.709,0.112,0.702,0.889,0.819,0.114,0.854,0.612,0.866,0.113,0.785,0.777,0.806,0.112,0.709,0.915,0.605,0.113,0.814,0.628,0.711,0.113,0.635,0.581,0.626,0.113,0.448,0.542,0.601,0.112,0.576,0.608,0.713,0.114
