Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.059,0.058,0.059,0.058,0.058,0.047,0.05,0.06,0.057,0.042,0.043,0.043,0.044,0.066,0.05,0.044,0.042,0.043,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.039,0.04,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
15,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.059,0.058,0.061,0.058,0.057,0.047,0.05,0.06,0.057,0.042,0.044,0.043,0.045,0.066,0.05,0.043,0.043,0.044,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.039,0.04,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
30,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.061,0.059,0.061,0.058,0.058,0.047,0.05,0.061,0.057,0.043,0.046,0.044,0.046,0.066,0.05,0.044,0.043,0.047,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.039,0.041,0.05,0.049,0.049,0.049,0.048,0.049,0.048,0.051,0.048,0.048
45,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.063,0.061,0.061,0.059,0.061,0.047,0.05,0.064,0.059,0.045,0.05,0.046,0.048,0.065,0.05,0.046,0.045,0.049,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.039,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
60,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.066,0.065,0.063,0.062,0.065,0.047,0.049,0.068,0.06,0.049,0.06,0.049,0.053,0.065,0.05,0.05,0.048,0.054,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.039,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
75,0.048,0.047,0.048,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.073,0.07,0.068,0.067,0.071,0.047,0.05,0.074,0.063,0.055,0.079,0.054,0.061,0.065,0.05,0.058,0.053,0.064,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.04,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
90,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.083,0.078,0.074,0.074,0.08,0.047,0.049,0.084,0.068,0.063,0.101,0.062,0.073,0.065,0.05,0.069,0.061,0.078,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.04,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.047,0.048
105,0.048,0.047,0.048,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.097,0.092,0.084,0.085,0.095,0.047,0.049,0.102,0.074,0.076,0.128,0.073,0.089,0.065,0.05,0.086,0.073,0.098,0.046,0.043,0.04,0.048,0.047,0.04,0.04,0.04,0.041,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
120,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.123,0.113,0.101,0.102,0.117,0.047,0.049,0.134,0.085,0.095,0.162,0.091,0.11,0.065,0.05,0.116,0.091,0.125,0.046,0.043,0.041,0.048,0.047,0.041,0.04,0.041,0.042,0.041,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
135,0.048,0.047,0.048,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.166,0.142,0.125,0.127,0.154,0.047,0.049,0.187,0.103,0.117,0.205,0.112,0.137,0.064,0.05,0.161,0.114,0.175,0.046,0.044,0.041,0.048,0.047,0.041,0.041,0.041,0.042,0.042,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
150,0.048,0.047,0.047,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.24,0.187,0.162,0.167,0.22,0.047,0.049,0.274,0.132,0.148,0.261,0.142,0.176,0.064,0.05,0.223,0.143,0.23,0.046,0.045,0.042,0.048,0.047,0.042,0.042,0.042,0.043,0.043,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
165,0.048,0.047,0.048,0.048,0.049,0.049,0.048,0.048,0.048,0.059,0.342,0.249,0.213,0.218,0.317,0.047,0.049,0.392,0.177,0.188,0.325,0.19,0.236,0.063,0.05,0.295,0.184,0.304,0.046,0.046,0.042,0.048,0.047,0.043,0.043,0.043,0.044,0.044,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
180,0.048,0.047,0.048,0.048,0.049,0.049,0.048,0.048,0.048,0.059,0.517,0.345,0.291,0.299,0.506,0.047,0.049,0.556,0.256,0.243,0.403,0.244,0.306,0.064,0.05,0.384,0.25,0.382,0.046,0.048,0.044,0.048,0.047,0.045,0.044,0.044,0.045,0.045,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
195,0.048,0.047,0.048,0.048,0.05,0.049,0.048,0.048,0.048,0.059,0.702,0.481,0.406,0.423,0.689,0.047,0.049,0.741,0.371,0.311,0.491,0.292,0.424,0.064,0.05,0.463,0.342,0.453,0.046,0.05,0.046,0.048,0.047,0.047,0.046,0.046,0.048,0.047,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
210,0.048,0.047,0.048,0.048,0.05,0.049,0.048,0.048,0.049,0.059,0.869,0.648,0.551,0.588,0.853,0.047,0.049,0.89,0.538,0.418,0.576,0.355,0.579,0.063,0.05,0.554,0.483,0.525,0.046,0.053,0.048,0.048,0.047,0.05,0.049,0.049,0.05,0.049,0.05,0.049,0.049,0.049,0.048,0.048,0.048,0.051,0.048,0.048
225,0.048,0.047,0.047,0.048,0.049,0.049,0.048,0.048,0.048,0.059,1.034,0.862,0.729,0.769,0.999,0.047,0.049,1.043,0.725,0.558,0.657,0.43,0.77,0.063,0.049,0.654,0.631,0.608,0.045,0.057,0.051,0.048,0.047,0.053,0.051,0.051,0.053,0.053,0.05,0.049,0.048,0.049,0.048,0.048,0.048,0.05,0.048,0.048
