Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.047,0.048,0.061,0.06,0.063,0.068,0.063,0.061,0.048,0.049,0.061,0.054,0.057,0.06,0.066,0.058,0.047,0.048,0.056,0.061,0.06,0.054,0.055,0.063,0.048,0.047,0.057,0.06,0.06,0.064,0.062,0.055,0.048,0.048,0.048,0.049,0.049,0.048,0.049,0.048,0.048
15,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.047,0.048,0.061,0.06,0.06,0.064,0.063,0.061,0.048,0.049,0.061,0.054,0.057,0.06,0.066,0.058,0.047,0.048,0.056,0.061,0.06,0.054,0.055,0.063,0.048,0.047,0.057,0.059,0.059,0.064,0.062,0.056,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
30,0.048,0.048,0.047,0.048,0.048,0.048,0.048,0.047,0.048,0.062,0.06,0.061,0.065,0.063,0.062,0.048,0.049,0.061,0.054,0.057,0.06,0.069,0.058,0.047,0.048,0.056,0.064,0.06,0.054,0.055,0.064,0.048,0.047,0.057,0.06,0.06,0.065,0.063,0.055,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
45,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.065,0.062,0.063,0.068,0.066,0.068,0.048,0.049,0.063,0.054,0.058,0.062,0.073,0.059,0.048,0.048,0.056,0.077,0.062,0.054,0.055,0.066,0.048,0.047,0.058,0.061,0.062,0.068,0.065,0.056,0.048,0.048,0.048,0.049,0.049,0.048,0.049,0.048,0.048
60,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.07,0.065,0.067,0.073,0.073,0.077,0.048,0.049,0.066,0.054,0.059,0.064,0.076,0.061,0.047,0.048,0.057,0.091,0.064,0.054,0.056,0.07,0.048,0.047,0.06,0.064,0.065,0.074,0.07,0.056,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
75,0.048,0.048,0.047,0.048,0.048,0.048,0.048,0.048,0.048,0.082,0.069,0.076,0.084,0.089,0.091,0.048,0.049,0.072,0.054,0.06,0.07,0.082,0.065,0.047,0.048,0.057,0.11,0.069,0.054,0.056,0.076,0.048,0.047,0.062,0.067,0.072,0.086,0.084,0.056,0.048,0.048,0.048,0.049,0.049,0.048,0.049,0.048,0.048
90,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.111,0.078,0.091,0.103,0.117,0.124,0.048,0.049,0.083,0.054,0.063,0.078,0.094,0.069,0.047,0.048,0.058,0.134,0.075,0.054,0.057,0.087,0.048,0.047,0.065,0.073,0.088,0.107,0.112,0.055,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
105,0.048,0.048,0.047,0.048,0.048,0.048,0.048,0.048,0.048,0.167,0.094,0.118,0.138,0.169,0.195,0.048,0.049,0.102,0.054,0.067,0.091,0.114,0.077,0.047,0.048,0.06,0.172,0.086,0.054,0.058,0.106,0.048,0.047,0.07,0.081,0.114,0.144,0.157,0.056,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
120,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.242,0.12,0.167,0.208,0.26,0.281,0.048,0.049,0.139,0.054,0.074,0.116,0.146,0.089,0.048,0.048,0.062,0.244,0.104,0.054,0.059,0.137,0.048,0.047,0.078,0.093,0.144,0.203,0.216,0.055,0.048,0.048,0.048,0.049,0.049,0.048,0.049,0.048,0.048
135,0.048,0.048,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.338,0.165,0.248,0.329,0.388,0.377,0.048,0.049,0.199,0.054,0.086,0.161,0.198,0.111,0.048,0.048,0.066,0.342,0.135,0.054,0.061,0.189,0.048,0.047,0.089,0.112,0.19,0.298,0.286,0.055,0.048,0.048,0.048,0.049,0.048,0.048,0.049,0.048,0.048
