Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.055,0.059,0.055,0.055,0.053,0.054,0.048,0.048,0.053,0.047,0.044,0.043,0.042,0.043,0.047,0.048,0.044,0.042,0.042,0.04,0.04,0.04,0.049,0.048,0.039,0.04,0.041,0.041,0.04,0.04,0.048,0.05,0.048,0.048,0.048,0.047,0.048,0.05,0.05
15,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.057,0.059,0.054,0.056,0.055,0.058,0.048,0.048,0.055,0.047,0.048,0.043,0.043,0.044,0.047,0.048,0.044,0.042,0.042,0.04,0.04,0.041,0.049,0.048,0.039,0.04,0.041,0.04,0.041,0.04,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
30,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,0.06,0.065,0.056,0.059,0.06,0.062,0.048,0.048,0.059,0.047,0.05,0.044,0.043,0.046,0.047,0.048,0.045,0.043,0.042,0.04,0.04,0.04,0.049,0.048,0.039,0.04,0.041,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
45,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.068,0.082,0.063,0.066,0.069,0.074,0.048,0.048,0.065,0.047,0.048,0.045,0.044,0.048,0.047,0.048,0.047,0.044,0.043,0.04,0.04,0.041,0.049,0.048,0.039,0.04,0.041,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
60,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.082,0.137,0.074,0.077,0.087,0.094,0.048,0.048,0.077,0.047,0.048,0.048,0.046,0.051,0.047,0.048,0.052,0.047,0.046,0.04,0.04,0.04,0.049,0.048,0.039,0.04,0.042,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
75,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,0.107,0.233,0.097,0.097,0.125,0.128,0.048,0.048,0.103,0.047,0.051,0.053,0.05,0.057,0.047,0.048,0.06,0.052,0.052,0.04,0.04,0.04,0.049,0.048,0.039,0.04,0.042,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
90,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.159,0.318,0.144,0.132,0.183,0.174,0.049,0.048,0.154,0.047,0.056,0.063,0.057,0.074,0.047,0.048,0.075,0.061,0.062,0.04,0.04,0.04,0.049,0.048,0.039,0.04,0.043,0.04,0.043,0.04,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
105,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.236,0.424,0.218,0.19,0.254,0.245,0.049,0.048,0.234,0.047,0.065,0.079,0.068,0.097,0.047,0.048,0.097,0.076,0.074,0.04,0.04,0.041,0.049,0.048,0.04,0.04,0.043,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
120,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.351,0.539,0.33,0.283,0.342,0.353,0.049,0.048,0.337,0.047,0.081,0.1,0.086,0.116,0.047,0.048,0.115,0.097,0.087,0.04,0.04,0.041,0.049,0.048,0.04,0.04,0.044,0.04,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
135,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.509,0.649,0.446,0.427,0.448,0.514,0.048,0.048,0.461,0.047,0.102,0.12,0.107,0.141,0.047,0.048,0.145,0.123,0.107,0.04,0.041,0.041,0.049,0.048,0.04,0.041,0.045,0.041,0.041,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
150,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.663,0.772,0.595,0.597,0.597,0.666,0.049,0.048,0.618,0.047,0.136,0.159,0.141,0.185,0.047,0.048,0.193,0.162,0.139,0.04,0.041,0.042,0.049,0.048,0.041,0.041,0.045,0.042,0.044,0.04,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
165,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.786,0.837,0.721,0.733,0.723,0.785,0.049,0.048,0.732,0.047,0.183,0.217,0.189,0.256,0.047,0.048,0.265,0.226,0.187,0.04,0.042,0.043,0.049,0.048,0.041,0.042,0.046,0.042,0.043,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
180,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,0.919,0.975,0.817,0.851,0.814,0.931,0.048,0.048,0.847,0.047,0.257,0.286,0.262,0.32,0.047,0.048,0.342,0.299,0.262,0.04,0.042,0.044,0.049,0.048,0.043,0.043,0.047,0.043,0.044,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
195,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,1.006,1.053,0.954,0.952,0.962,1.013,0.048,0.048,0.978,0.047,0.332,0.389,0.341,0.422,0.047,0.048,0.462,0.405,0.333,0.04,0.043,0.045,0.049,0.048,0.044,0.045,0.048,0.045,0.046,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
210,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.101,1.154,1.036,1.028,1.05,1.117,0.048,0.048,1.065,0.047,0.445,0.548,0.479,0.586,0.047,0.048,0.589,0.528,0.465,0.04,0.044,0.048,0.049,0.049,0.046,0.047,0.051,0.047,0.048,0.039,0.048,0.05,0.048,0.048,0.048,0.047,0.048,0.05,0.049
225,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.2,1.238,1.135,1.118,1.146,1.208,0.048,0.048,1.16,0.047,0.557,0.628,0.613,0.715,0.047,0.048,0.68,0.6,0.57,0.04,0.047,0.05,0.049,0.049,0.049,0.05,0.056,0.05,0.051,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
240,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.296,1.336,1.218,1.207,1.225,1.302,0.048,0.048,1.243,0.047,0.622,0.679,0.738,0.783,0.047,0.048,0.722,0.657,0.658,0.04,0.049,0.054,0.049,0.049,0.053,0.054,0.061,0.055,0.056,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
255,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.387,1.407,1.31,1.312,1.319,1.381,0.049,0.048,1.341,0.047,0.667,0.695,0.828,0.842,0.047,0.048,0.775,0.684,0.751,0.04,0.053,0.06,0.049,0.049,0.058,0.059,0.068,0.06,0.062,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
270,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.448,1.452,1.375,1.375,1.385,1.431,0.049,0.048,1.41,0.047,0.72,0.73,0.878,0.872,0.047,0.048,0.833,0.741,0.846,0.04,0.057,0.065,0.049,0.049,0.064,0.065,0.077,0.067,0.068,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
285,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,1.49,1.487,1.42,1.416,1.424,1.453,0.048,0.048,1.459,0.047,0.796,0.776,0.907,0.957,0.047,0.048,0.903,0.845,0.912,0.04,0.062,0.074,0.049,0.049,0.072,0.073,0.088,0.076,0.077,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
300,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,1.519,1.518,1.453,1.454,1.456,1.462,0.049,0.048,1.498,0.047,0.857,0.807,0.943,0.999,0.047,0.048,0.863,0.917,0.949,0.04,0.069,0.085,0.049,0.049,0.081,0.084,0.098,0.086,0.091,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
315,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.05,1.546,1.549,1.489,1.492,1.491,1.48,0.048,0.048,1.535,0.047,0.869,0.819,0.996,0.969,0.047,0.048,0.887,0.898,0.981,0.04,0.076,0.097,0.049,0.049,0.091,0.094,0.108,0.095,0.095,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
330,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.05,1.573,1.584,1.527,1.528,1.528,1.503,0.049,0.048,1.569,0.047,0.891,0.837,0.998,0.987,0.047,0.048,0.917,0.863,1.023,0.04,0.086,0.107,0.049,0.049,0.096,0.1,0.115,0.102,0.102,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
345,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.602,1.61,1.564,1.563,1.56,1.532,0.049,0.048,1.605,0.047,0.855,0.86,1.023,1.004,0.047,0.048,0.948,0.856,1.034,0.04,0.096,0.11,0.049,0.049,0.102,0.111,0.122,0.107,0.108,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
360,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.632,1.649,1.601,1.593,1.593,1.576,0.048,0.048,1.639,0.047,0.861,0.895,1.053,1.025,0.047,0.048,0.982,0.889,1.006,0.04,0.099,0.115,0.049,0.049,0.109,0.118,0.129,0.113,0.114,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
375,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.67,1.672,1.64,1.619,1.619,1.615,0.049,0.048,1.679,0.047,0.893,0.928,1.086,1.082,0.047,0.048,0.982,0.929,1.021,0.04,0.104,0.122,0.049,0.049,0.116,0.124,0.135,0.121,0.121,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
390,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.695,1.701,1.677,1.657,1.659,1.644,0.049,0.048,1.708,0.047,0.935,0.96,1.107,1.075,0.047,0.048,0.983,0.962,1.05,0.04,0.111,0.125,0.049,0.049,0.122,0.13,0.138,0.126,0.127,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
405,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.047,0.05,1.724,1.727,1.707,1.689,1.69,1.67,0.048,0.048,1.735,0.047,0.961,0.963,1.127,1.068,0.047,0.048,0.987,0.968,1.087,0.04,0.118,0.128,0.049,0.049,0.126,0.133,0.14,0.13,0.13,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
420,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.746,1.753,1.732,1.722,1.716,1.695,0.048,0.048,1.759,0.047,0.982,0.973,1.128,1.063,0.047,0.048,0.991,0.991,1.127,0.04,0.123,0.136,0.049,0.049,0.13,0.137,0.14,0.133,0.134,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
435,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.047,0.05,1.768,1.778,1.749,1.75,1.744,1.721,0.048,0.048,1.777,0.047,1.007,0.986,1.131,1.062,0.047,0.048,0.998,1.008,1.141,0.04,0.128,0.141,0.049,0.049,0.131,0.137,0.14,0.133,0.135,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
450,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.79,1.804,1.769,1.776,1.772,1.744,0.048,0.048,1.798,0.047,1.028,0.999,1.135,1.067,0.047,0.048,1.001,1.022,1.158,0.04,0.131,0.141,0.049,0.049,0.132,0.138,0.148,0.134,0.135,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
465,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.814,1.828,1.79,1.803,1.796,1.765,0.049,0.048,1.82,0.047,1.057,1.011,1.136,1.069,0.047,0.048,1.006,1.038,1.17,0.04,0.133,0.136,0.049,0.049,0.132,0.136,0.144,0.135,0.136,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
480,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.838,1.851,1.816,1.828,1.823,1.789,0.049,0.048,1.843,0.047,1.068,1.036,1.15,1.073,0.047,0.048,1.012,1.057,1.178,0.04,0.134,0.139,0.049,0.049,0.133,0.137,0.142,0.135,0.136,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
495,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.861,1.875,1.842,1.852,1.846,1.808,0.049,0.048,1.863,0.047,1.079,1.044,1.157,1.076,0.047,0.048,1.018,1.085,1.182,0.04,0.137,0.143,0.049,0.049,0.134,0.139,0.142,0.136,0.138,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.049,0.05,0.049
510,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.886,1.9,1.865,1.875,1.869,1.829,0.048,0.048,1.886,0.047,1.101,1.045,1.156,1.083,0.047,0.048,1.026,1.095,1.185,0.04,0.136,0.139,0.049,0.049,0.134,0.141,0.143,0.136,0.138,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.049,0.05,0.049
525,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.047,0.05,1.91,1.928,1.89,1.895,1.894,1.845,0.048,0.048,1.904,0.047,1.098,1.043,1.155,1.085,0.047,0.048,1.033,1.099,1.187,0.04,0.137,0.141,0.049,0.049,0.135,0.141,0.145,0.136,0.139,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
540,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.937,1.954,1.916,1.916,1.913,1.868,0.049,0.048,1.925,0.047,1.104,1.034,1.158,1.086,0.047,0.048,1.036,1.104,1.201,0.04,0.137,0.145,0.049,0.049,0.135,0.14,0.146,0.137,0.14,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.049,0.05,0.049
555,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,1.975,1.981,1.94,1.935,1.931,1.901,0.048,0.048,1.942,0.047,1.12,1.041,1.162,1.09,0.047,0.048,1.04,1.115,1.216,0.04,0.137,0.14,0.049,0.049,0.135,0.14,0.145,0.138,0.139,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.049,0.05,0.049
570,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.025,2.009,1.962,1.952,1.952,1.907,0.049,0.048,1.959,0.047,1.137,1.047,1.171,1.091,0.047,0.048,1.042,1.131,1.231,0.04,0.138,0.147,0.049,0.049,0.136,0.14,0.144,0.139,0.14,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.05,0.049
585,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.073,2.024,1.984,1.971,1.972,2.022,0.048,0.048,1.978,0.047,1.15,1.05,1.18,1.087,0.047,0.048,1.044,1.142,1.24,0.04,0.139,0.14,0.049,0.049,0.136,0.142,0.148,0.138,0.14,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
600,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.047,0.05,2.119,2.05,2.008,1.989,1.992,2.064,0.048,0.048,1.993,0.047,1.168,1.06,1.192,1.093,0.047,0.048,1.046,1.156,1.252,0.04,0.137,0.145,0.049,0.049,0.136,0.14,0.143,0.138,0.14,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
615,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.15,2.063,2.023,2.005,2.005,2.11,0.049,0.048,2.011,0.047,1.181,1.049,1.194,1.086,0.047,0.048,1.048,1.154,1.254,0.04,0.139,0.144,0.049,0.049,0.136,0.142,0.15,0.139,0.141,0.039,0.048,0.05,0.048,0.048,0.048,0.048,0.048,0.05,0.049
630,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.181,2.088,2.035,2.019,2.022,2.143,0.048,0.048,2.03,0.047,1.18,1.047,1.189,1.082,0.047,0.048,1.049,1.152,1.251,0.04,0.139,0.142,0.049,0.049,0.136,0.141,0.144,0.141,0.141,0.039,0.048,0.049,0.048,0.048,0.048,0.048,0.049,0.05,0.049
645,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.211,2.104,2.048,2.037,2.037,2.168,0.048,0.048,2.05,0.047,1.173,1.053,1.188,1.082,0.047,0.048,1.051,1.159,1.229,0.04,0.138,0.146,0.049,0.049,0.137,0.143,0.149,0.139,0.141,0.039,0.048,0.05,0.048,0.048,0.048,0.047,0.049,0.05,0.049
660,0.048,0.047,0.047,0.048,0.057,0.048,0.048,0.048,0.05,2.231,2.129,2.049,2.053,2.057,2.188,0.048,0.048,2.063,0.048,1.178,1.067,1.188,1.084,0.047,0.048,1.053,1.164,1.229,0.04,0.139,0.144,0.049,0.049,0.136,0.142,0.145,0.141,0.142,0.039,0.048,0.049,0.048,0.048,0.048,0.047,0.048,0.05,0.049
