Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
0,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.049,0.049,0.046,0.05,0.049,0.048,0.047,0.048,0.047,0.055,0.049,0.049,0.047,0.05,0.048,0.048,0.041,0.04,0.039,0.041,0.042,0.041,0.048,0.047,0.042,0.04,0.041,0.04,0.04,0.041,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
15,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.05,0.05,0.046,0.051,0.05,0.049,0.047,0.048,0.047,0.057,0.05,0.05,0.047,0.051,0.048,0.048,0.041,0.04,0.039,0.042,0.042,0.041,0.048,0.047,0.042,0.04,0.041,0.04,0.04,0.041,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
30,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.051,0.052,0.046,0.053,0.052,0.05,0.047,0.048,0.047,0.063,0.051,0.052,0.047,0.053,0.048,0.048,0.042,0.04,0.039,0.042,0.043,0.041,0.048,0.047,0.042,0.041,0.041,0.041,0.04,0.042,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
45,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.054,0.055,0.046,0.058,0.056,0.054,0.047,0.048,0.047,0.069,0.054,0.055,0.047,0.056,0.048,0.048,0.043,0.041,0.039,0.043,0.043,0.042,0.048,0.047,0.042,0.042,0.042,0.041,0.04,0.042,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
60,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.06,0.062,0.046,0.064,0.063,0.062,0.047,0.048,0.047,0.082,0.059,0.062,0.047,0.062,0.048,0.048,0.043,0.042,0.039,0.043,0.044,0.043,0.048,0.047,0.042,0.042,0.042,0.043,0.04,0.043,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
75,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.07,0.074,0.046,0.076,0.073,0.083,0.047,0.048,0.047,0.108,0.068,0.075,0.047,0.072,0.048,0.048,0.045,0.043,0.039,0.045,0.046,0.043,0.048,0.047,0.042,0.043,0.043,0.046,0.04,0.044,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
90,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.049,0.089,0.096,0.046,0.095,0.092,0.114,0.047,0.048,0.047,0.144,0.083,0.097,0.047,0.089,0.048,0.048,0.046,0.044,0.039,0.047,0.048,0.045,0.048,0.047,0.042,0.044,0.044,0.048,0.04,0.045,0.049,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
105,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.049,0.115,0.131,0.046,0.128,0.122,0.139,0.047,0.048,0.047,0.201,0.107,0.126,0.047,0.117,0.048,0.048,0.048,0.046,0.039,0.049,0.05,0.046,0.048,0.047,0.042,0.045,0.045,0.051,0.04,0.047,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
120,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.048,0.049,0.163,0.185,0.046,0.187,0.175,0.178,0.047,0.048,0.047,0.291,0.149,0.174,0.047,0.167,0.048,0.048,0.051,0.048,0.039,0.051,0.054,0.048,0.048,0.047,0.042,0.047,0.046,0.054,0.04,0.049,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
135,0.048,0.047,0.047,0.048,0.048,0.048,0.048,0.047,0.049,0.243,0.276,0.046,0.286,0.266,0.248,0.047,0.048,0.047,0.431,0.222,0.257,0.047,0.25,0.048,0.048,0.055,0.051,0.039,0.055,0.059,0.05,0.048,0.047,0.042,0.049,0.048,0.058,0.04,0.052,0.048,0.048,0.049,0.048,0.048,0.048,0.048,0.048,0.048
