Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,0,0,0,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.001,0.001,0.001,0.001,0.008,0.015,0.018,0.051,0.021,0.008,0.002,0,0.075,0.014,0.012,0.004,0.008,0.018,0.006,0,0.012,0.005,-0.001,0,0.021,0.019,0.007,0.022,0.008,0.005,0.019,0.031,0.012,0.017,-0.001,0,0.027,0.003,0.006,0.015,0.015,0.005,0.051,0.018,0.009,0.014,-0.001,0,0.012,0.007,0.006,0.003,0.014,0,0.016,0.004,0.006,0.018,0,0,0.005,0.008,0.01,0.003,0.016,0.002,0.003,0.006,0.004,0.004,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.001,0.004
0.2,0,0,-0.001,-0.001,0,0,0,0,-0.001,0,0,0.002,0,0.002,0.001,0.001,0.002,0.007,0.02,0.016,0.047,0.019,0.009,0.001,0,0.064,0.014,0.011,0.005,0.008,0.017,0.008,0,0.022,0.004,-0.001,0,0.018,0.02,0.007,0.022,0.01,0.007,0.015,0.031,0.012,0.019,-0.001,0,0.043,0.005,0.006,0.021,0.015,0.008,0.039,0.021,0.008,0.015,-0.001,0,0.011,0.012,0.004,0.002,0.012,0,0.015,0.004,0.007,0.018,0,0,0.005,0.009,0.013,0.003,0.013,0.001,0.004,0.004,0.004,0.005,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
0.4,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.001,0.001,0.001,0.002,0.006,0.019,0.01,0.048,0.021,0.009,0.001,0,0.054,0.014,0.011,0.005,0.008,0.016,0.008,0,0.029,0.005,-0.001,0,0.016,0.018,0.007,0.02,0.013,0.006,0.013,0.036,0.014,0.02,-0.001,0,0.046,0.009,0.007,0.024,0.017,0.007,0.029,0.021,0.008,0.015,-0.001,0,0.013,0.017,0.006,0.004,0.011,0,0.016,0.005,0.007,0.018,0,0,0.005,0.009,0.015,0.003,0.009,0.001,0.004,0.005,0.004,0.005,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
0.6,0,0,-0.001,-0.001,0,0,0,0,-0.001,0,0,0.002,0,0.002,0.001,0.001,0.002,0.007,0.019,0.008,0.044,0.028,0.009,0.001,0,0.059,0.014,0.01,0.005,0.009,0.015,0.009,0,0.045,0.005,-0.001,0,0.016,0.018,0.008,0.02,0.015,0.005,0.014,0.041,0.015,0.02,-0.001,0,0.041,0.015,0.007,0.029,0.02,0.006,0.02,0.025,0.008,0.016,-0.001,0,0.019,0.023,0.008,0.004,0.01,0,0.016,0.005,0.008,0.018,0,0,0.006,0.012,0.023,0.003,0.01,0.001,0.004,0.005,0.004,0.005,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
0.8,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.002,0.001,0,0.002,0.007,0.018,0.007,0.03,0.043,0.009,0.001,0,0.054,0.014,0.011,0.005,0.008,0.014,0.009,0,0.049,0.008,-0.001,0,0.015,0.021,0.008,0.021,0.015,0.005,0.014,0.041,0.015,0.02,-0.001,0,0.042,0.019,0.007,0.025,0.02,0.006,0.017,0.024,0.008,0.016,-0.001,0,0.027,0.028,0.012,0.007,0.01,0,0.015,0.006,0.008,0.018,0,0,0.008,0.014,0.03,0.003,0.01,0.001,0.004,0.005,0.004,0.005,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
1,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.001,0.001,0,0.002,0.007,0.018,0.006,0.028,0.044,0.009,0.001,0,0.056,0.015,0.01,0.006,0.012,0.014,0.009,0,0.056,0.011,-0.001,0,0.016,0.022,0.008,0.025,0.014,0.005,0.014,0.044,0.015,0.022,-0.001,0,0.046,0.023,0.008,0.028,0.022,0.006,0.015,0.024,0.007,0.017,-0.001,0,0.032,0.034,0.016,0.006,0.011,0,0.015,0.006,0.008,0.018,0,0,0.01,0.018,0.033,0.003,0.01,0.001,0.004,0.005,0.004,0.006,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
1.2,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.001,0.001,0.001,0.002,0.007,0.018,0.006,0.027,0.054,0.01,0.001,0,0.058,0.015,0.01,0.008,0.013,0.014,0.009,0,0.054,0.01,-0.001,0,0.016,0.024,0.008,0.029,0.016,0.005,0.014,0.042,0.015,0.026,-0.001,0,0.044,0.026,0.01,0.034,0.027,0.005,0.014,0.02,0.007,0.017,-0.001,0,0.036,0.034,0.019,0.004,0.011,0,0.015,0.006,0.008,0.018,0,0,0.012,0.019,0.035,0.003,0.01,0.001,0.004,0.005,0.004,0.011,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
1.4,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,-0.001,0.002,0.001,0,0.002,0.007,0.017,0.006,0.029,0.053,0.013,0.001,0,0.053,0.018,0.01,0.011,0.017,0.014,0.009,0,0.042,0.015,-0.001,0,0.017,0.019,0.009,0.033,0.019,0.005,0.013,0.039,0.015,0.03,-0.001,0,0.041,0.028,0.013,0.035,0.031,0.005,0.014,0.02,0.008,0.018,-0.001,0,0.041,0.037,0.021,0.006,0.011,0,0.015,0.006,0.008,0.018,0,0,0.014,0.019,0.036,0.003,0.011,0.001,0.004,0.005,0.004,0.01,0,0,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
1.6,0,0,-0.001,-0.001,0,0,0,0,-0.001,0,-0.001,0.002,0,0.002,0.001,0.001,0.002,0.008,0.017,0.006,0.023,0.058,0.014,0.001,0,0.045,0.02,0.011,0.014,0.019,0.014,0.009,0,0.037,0.015,-0.001,0,0.017,0.026,0.009,0.037,0.023,0.005,0.014,0.037,0.016,0.025,-0.001,0,0.037,0.028,0.018,0.038,0.039,0.005,0.013,0.02,0.008,0.018,-0.001,0,0.046,0.037,0.024,0.004,0.013,0,0.015,0.006,0.008,0.018,0,0,0.016,0.021,0.035,0.003,0.011,0.001,0.004,0.005,0.004,0.005,0,-0.001,-0.001,0,0,0,0,0,-0.001,0,0,0.002,0.004
1.8,0,0,-0.001,-0.001,0,0,0,0,-0.001,-0.001,-0.001,0.002,0,0.001,0.001,0.001,0.003,0.008,0.017,0.007,0.029,0.057,0.02,0.001,0,0.044,0.022,0.012,0.017,0.021,0.014,0.009,0,0.04,0.018,-0.001,0,0.018,0.023,0.009,0.041,0.024,0.005,0.014,0.039,0.017,0.027,-0.001,0,0.036,0.027,0.021,0.036,0.042,0.005,0.014,0.02,0.008,0.021,-0.001,0,0.05,0.035,0.024,0.007,0.013,0,0.015,0.007,0.009,0.02,0,0,0.018,0.021,0.036,0.003,0.012,0.001,0.004,0.005,0.004,0.004,0,-0.001,-0.001,0,0,0,0,0,0,0,0,0.002,0.004
