Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0,-0.001,0,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0,0,0,0.089,0.002,0.003,0.002,0.024,0.01,0,0.005,-0.002,0.002,0.016,0.008,0.024,0.021,0.007,0.001,0.039,0.027,0.003,0.003,-0.002,0,0.007,0.006,0.021,0.005,0.015,0.001,0.073,0.018,0.005,0.006,-0.001,-0.002,0.011,0.001,0.031,0.015,0.008,0.007,0.022,0.01,0.027,0.006,0.002,0,0.003,0.004,0.011,0.009,0.008,0.007,0.044,0.006,0.012,0.005,0,0,0.016,-0.001,0.027,0.003,0.021,0.002,0.008,0.003,0.005,0.009,0,-0.001,0.001,0,-0.001,-0.001,0,0,0.001,0,0.003,0.003,-0.002
0.2,-0.001,-0.001,0.001,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.09,0.002,0.003,0.002,0.022,0.01,0,0.006,-0.002,0.002,0.016,0.005,0.025,0.022,0.008,0.001,0.04,0.024,0.002,0.003,-0.002,0,0.01,0.005,0.03,0.005,0.017,0.002,0.082,0.018,0.005,0.007,-0.001,-0.002,0.013,0,0.031,0.011,0.007,0.009,0.022,0.011,0.023,0.006,0.002,0,0.003,0.003,0.014,0.012,0.008,0.008,0.046,0.006,0.014,0.005,0,0,0.018,-0.001,0.025,0.003,0.015,0.002,0.009,0.003,0.005,0.009,0.001,-0.001,0,0,-0.001,-0.001,0.001,0,0.001,0,0.003,0.002,-0.002
0.4,-0.001,0,0.001,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.088,0.002,0.003,0.002,0.021,0.01,0,0.005,-0.002,0.002,0.018,0.004,0.023,0.024,0.007,0.002,0.042,0.021,0.002,0.002,-0.002,0,0.005,0.006,0.028,0.005,0.016,0.002,0.07,0.016,0.004,0.007,-0.001,-0.002,0.011,0,0.033,0.008,0.007,0.01,0.019,0.012,0.021,0.005,0.002,0,0.003,0.004,0.012,0.016,0.008,0.008,0.044,0.005,0.017,0.005,0,0,0.018,-0.001,0.022,0.004,0.016,0.002,0.008,0.003,0.004,0.008,0,-0.001,0,0,-0.001,-0.001,0,0,0.001,-0.001,0.003,0.002,-0.002
0.6,-0.001,-0.001,0.001,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.002,-0.002,0,-0.001,0.001,0.085,0.002,0.003,0.002,0.019,0.011,0,0.005,-0.002,0.002,0.015,0.004,0.021,0.028,0.008,0.002,0.045,0.015,0.002,0.003,-0.002,0,0.004,0.008,0.032,0.005,0.013,0.001,0.053,0.012,0.005,0.006,-0.001,-0.002,0.013,0,0.049,0.007,0.007,0.017,0.019,0.013,0.018,0.005,0.002,0,0.004,0.003,0.012,0.023,0.008,0.008,0.039,0.006,0.013,0.005,0.001,0,0.017,-0.001,0.028,0.004,0.018,0.002,0.009,0.002,0.004,0.008,0,-0.001,0,0,0,-0.001,0,0,0,0,0.003,0.002,-0.002
0.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.074,0.003,0.003,0.002,0.018,0.012,0,0.005,-0.002,0.002,0.016,0.005,0.021,0.03,0.008,0.002,0.037,0.012,0.002,0.003,-0.002,0,0.006,0.011,0.035,0.005,0.013,0.001,0.052,0.011,0.005,0.006,-0.001,-0.002,0.012,0,0.058,0.008,0.007,0.028,0.024,0.012,0.019,0.005,0.002,0,0.004,0.003,0.012,0.039,0.008,0.009,0.033,0.006,0.013,0.004,0.001,0,0.017,-0.001,0.023,0.004,0.019,0.002,0.009,0.002,0.005,0.008,0.001,-0.001,0,0,0,-0.001,0,0,0,-0.001,0.003,0.002,-0.002
1,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0,0.069,0.002,0.004,0.011,0.018,0.012,0,0.006,-0.002,0.002,0.016,0.005,0.022,0.033,0.008,0.003,0.039,0.01,0.002,0.003,-0.002,-0.001,0.006,0.015,0.05,0.005,0.01,0.001,0.045,0.01,0.005,0.006,-0.001,-0.002,0.011,0,0.054,0.007,0.007,0.045,0.027,0.012,0.018,0.006,0.002,0,0.004,0.003,0.013,0.054,0.009,0.009,0.043,0.006,0.012,0.004,0,0,0.017,-0.001,0.027,0.005,0.024,0.002,0.008,0.002,0.004,0.008,0.001,-0.001,0,0,0,-0.001,0,0,0,-0.001,0.003,0.002,-0.002
1.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.058,0.003,0.005,0.014,0.018,0.012,0,0.006,-0.002,0.002,0.021,0.005,0.022,0.037,0.008,0.004,0.034,0.01,0.002,0.003,-0.002,0,0.009,0.026,0.052,0.004,0.008,0.001,0.038,0.009,0.006,0.006,-0.001,-0.002,0.01,0,0.044,0.007,0.007,0.054,0.034,0.012,0.018,0.007,0.002,0,0.005,0.003,0.012,0.057,0.008,0.011,0.018,0.006,0.012,0.004,0,0,0.018,-0.001,0.025,0.008,0.027,0.002,0.009,0.002,0.005,0.008,0.002,-0.001,0,0,-0.001,-0.001,0,0,0,-0.001,0.003,0.002,-0.002
1.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.047,0.002,0.005,0.024,0.018,0.012,0,0.006,-0.002,0.002,0.018,0.005,0.022,0.043,0.008,0.004,0.03,0.011,0.003,0.004,-0.002,0,0.008,0.034,0.062,0.005,0.008,0.002,0.049,0.009,0.006,0.006,-0.001,-0.002,0.011,0.005,0.052,0.007,0.007,0.054,0.038,0.013,0.02,0.006,0.003,0,0.006,0.003,0.013,0.05,0.009,0.011,0.022,0.007,0.014,0.005,0.001,0,0.017,-0.001,0.026,0.013,0.031,0.003,0.009,0.002,0.004,0.009,0.001,-0.001,0.001,0,0,-0.001,0,0,0.001,0,0.003,0.003,-0.002
1.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,-0.001,0.001,-0.002,0,-0.001,0.001,0.037,0.002,0.006,0.017,0.019,0.013,0,0.009,-0.002,0.002,0.02,0.007,0.023,0.044,0.008,0.005,0.027,0.011,0.002,0.005,-0.002,0,0.011,0.037,0.067,0.005,0.008,0.003,0.058,0.007,0.006,0.007,-0.001,-0.002,0.01,0,0.055,0.007,0.007,0.059,0.033,0.013,0.021,0.007,0.002,0,0.007,0.003,0.014,0.042,0.01,0.012,0.027,0.007,0.014,0.004,0.001,0,0.018,-0.001,0.028,0.017,0.037,0.004,0.011,0.002,0.004,0.008,0,-0.001,0.001,0,0.002,-0.001,0,0.001,0,-0.001,0.002,0.002,-0.002
1.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,0,-0.001,0.001,-0.002,-0.001,-0.001,0.001,0.031,0.001,0.006,0.027,0.02,0.013,0,0.008,-0.002,0.001,0.021,0.006,0.024,0.043,0.008,0.006,0.033,0.012,0.002,0.004,-0.002,-0.001,0.012,0.036,0.067,0.004,0.008,0.003,0.056,0.008,0.006,0.007,-0.001,-0.002,0.01,0,0.043,0.007,0.007,0.063,0.037,0.013,0.022,0.01,0.002,-0.001,0.009,0.003,0.013,0.044,0.012,0.013,0.022,0.006,0.015,0.004,0.001,0,0.017,-0.001,0.025,0.021,0.036,0.004,0.01,0.002,0.004,0.008,0,0.01,0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0,-0.001,0.002,0.002,-0.002
2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,0,-0.001,0.001,-0.002,0,-0.001,0.001,0.025,0.002,0.005,0.025,0.021,0.014,0,0.009,-0.002,0.002,0.021,0.007,0.027,0.042,0.009,0.007,0.045,0.016,0.003,0.005,-0.002,0,0.024,0.036,0.067,0.005,0.008,0.005,0.066,0.008,0.008,0.008,-0.001,-0.002,0.01,0.008,0.037,0.008,0.008,0.059,0.036,0.014,0.025,0.007,0.002,0,0.011,0.003,0.014,0.032,0.013,0.016,0.02,0.007,0.018,0.005,0.001,0,0.018,-0.001,0.025,0.023,0.04,0.005,0.011,0.003,0.006,0.008,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0,-0.001,0.003,0.002,-0.002
2.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,0,-0.001,0.001,-0.002,0.002,-0.001,0.001,0.025,0.002,0.006,0.014,0.024,0.014,0,0.013,-0.002,0.002,0.02,0.008,0.027,0.043,0.009,0.007,0.038,0.018,0.003,0.006,-0.002,0,0.021,0.036,0.068,0.005,0.008,0.006,0.072,0.009,0.008,0.008,-0.001,-0.002,0.009,0,0.034,0.01,0.008,0.06,0.045,0.014,0.029,0.011,0.002,0,0.012,0.003,0.014,0.029,0.015,0.021,0.016,0.008,0.022,0.005,0,0,0.019,-0.001,0.026,0.025,0.04,0.005,0.011,0.003,0.003,0.011,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0,-0.001,0.002,0.002,-0.002
2.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.002,-0.001,0.001,0.025,0.002,0.008,0.024,0.026,0.015,0,0.012,-0.002,0.002,0.02,0.009,0.03,0.045,0.009,0.008,0.064,0.024,0.004,0.008,-0.002,0,0.025,0.038,0.063,0.006,0.008,0.006,0.061,0.011,0.009,0.008,-0.001,-0.002,0.01,0.001,0.037,0.014,0.009,0.061,0.051,0.016,0.036,0.007,0.002,0,0.016,0.003,0.015,0.027,0.015,0.028,0.02,0.009,0.024,0.005,0,0,0.02,-0.001,0.027,0.026,0.043,0.006,0.012,0.003,0.004,0.009,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0,-0.001,0.003,0.002,-0.002
2.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.002,0.029,0.002,0.008,0.023,0.026,0.017,0,0.013,-0.002,0.002,0.022,0.009,0.033,0.049,0.01,0.009,0.058,0.033,0.004,0.007,-0.002,0,0.028,0.043,0.073,0.007,0.008,0.008,0.052,0.013,0.011,0.008,-0.001,-0.002,0.01,0.003,0.042,0.021,0.009,0.068,0.059,0.016,0.047,0.006,0.002,0,0.016,0.004,0.016,0.032,0.018,0.033,0.022,0.009,0.032,0.005,0.001,0,0.023,-0.001,0.029,0.027,0.043,0.007,0.016,0.003,0.006,0.01,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0,0,0.003,0.002,-0.002
2.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.001,0.036,0.002,0.011,0.02,0.031,0.017,0,0.013,-0.002,0.002,0.022,0.01,0.036,0.051,0.01,0.011,0.059,0.048,0.004,0.009,-0.002,0,0.026,0.049,0.07,0.006,0.009,0.01,0.071,0.015,0.012,0.013,-0.001,-0.002,0.012,0.002,0.045,0.03,0.008,0.075,0.057,0.017,0.059,0.011,0.001,0,0.019,0.003,0.017,0.036,0.019,0.04,0.021,0.01,0.038,0.006,0,0,0.023,-0.001,0.027,0.028,0.046,0.008,0.015,0.003,0.006,0.01,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0,-0.001,0.003,0.002,-0.002
3,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.002,-0.001,0.001,0.042,0.002,0.01,0.016,0.028,0.019,0.001,0.019,-0.002,0.002,0.023,0.011,0.035,0.046,0.013,0.011,0.064,0.063,0.005,0.013,-0.002,0,0.033,0.051,0.065,0.007,0.008,0.012,0.095,0.019,0.014,0.011,-0.001,-0.002,0.01,0.005,0.044,0.034,0.009,0.07,0.061,0.019,0.066,0.006,0.001,0,0.019,0.003,0.018,0.03,0.021,0.042,0.031,0.011,0.044,0.006,0.001,0,0.024,-0.001,0.03,0.027,0.047,0.008,0.015,0.003,0.008,0.012,0,-0.001,0.001,0,-0.001,-0.001,0.001,0,0.001,-0.001,0.003,0.002,-0.002
3.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.002,-0.001,0.001,0.057,0.003,0.013,0.007,0.031,0.02,0.001,0.025,-0.002,0.002,0.023,0.012,0.039,0.049,0.015,0.01,0.058,0.072,0.006,0.018,-0.002,0,0.037,0.059,0.057,0.008,0.009,0.011,0.069,0.026,0.019,0.017,-0.001,-0.002,0.01,0.002,0.052,0.039,0.01,0.067,0.066,0.02,0.073,0.007,0.002,0,0.02,0.004,0.019,0.037,0.025,0.045,0.026,0.013,0.054,0.006,0.001,0,0.026,-0.001,0.03,0.028,0.045,0.008,0.015,0.003,0.013,0.017,0,-0.001,0.001,0,-0.001,-0.001,0,0,0,0,0.003,0.002,-0.002
3.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.002,0.07,0.002,0.015,0.018,0.043,0.021,0.001,0.016,-0.002,0.002,0.027,0.014,0.046,0.044,0.015,0.012,0.067,0.078,0.007,0.019,-0.002,0,0.034,0.068,0.053,0.009,0.009,0.014,0.073,0.036,0.026,0.015,-0.001,-0.002,0.015,0.001,0.052,0.041,0.012,0.076,0.063,0.022,0.078,0.008,0.002,0,0.022,0.004,0.02,0.046,0.024,0.047,0.038,0.015,0.06,0.007,0,0,0.028,-0.001,0.032,0.03,0.047,0.01,0.014,0.003,0.016,0.015,0,-0.001,0.001,0,-0.001,-0.001,0,0,0.001,-0.001,0.002,0.002,-0.002
3.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.002,0.082,0.004,0.021,0.028,0.044,0.024,0.001,0.014,-0.002,0.002,0.024,0.016,0.054,0.052,0.016,0.013,0.066,0.083,0.008,0.017,-0.002,0,0.037,0.075,0.053,0.009,0.01,0.016,0.084,0.048,0.031,0.015,-0.001,-0.001,0.014,0.008,0.05,0.043,0.011,0.087,0.069,0.024,0.084,0.01,0.002,0,0.024,0.004,0.021,0.049,0.029,0.052,0.026,0.016,0.067,0.007,0,0,0.03,-0.001,0.033,0.033,0.049,0.01,0.021,0.004,0.015,0.013,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,0,0.003,0.002,-0.002
3.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.002,0.09,0.003,0.018,0.016,0.037,0.026,0.001,0.015,-0.002,0.002,0.025,0.018,0.057,0.048,0.02,0.014,0.056,0.087,0.009,0.023,-0.002,0,0.043,0.078,0.046,0.012,0.011,0.016,0.071,0.055,0.035,0.017,-0.001,-0.002,0.016,0.001,0.052,0.045,0.011,0.091,0.065,0.026,0.089,0.009,0.002,0,0.025,0.004,0.022,0.051,0.031,0.051,0.027,0.018,0.072,0.007,0,0,0.032,-0.001,0.034,0.032,0.054,0.012,0.017,0.004,0.019,0.016,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,-0.001,0.003,0.002,-0.002
4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.002,0.097,0.005,0.024,0.03,0.04,0.028,0.001,0.022,-0.002,0.002,0.027,0.02,0.064,0.044,0.022,0.015,0.053,0.091,0.011,0.026,-0.002,0,0.045,0.082,0.046,0.019,0.014,0.018,0.07,0.061,0.037,0.022,-0.001,-0.002,0.031,0.001,0.052,0.049,0.013,0.093,0.071,0.029,0.095,0.01,0.002,0,0.026,0.003,0.023,0.051,0.032,0.055,0.029,0.022,0.077,0.008,0.001,0,0.035,-0.001,0.036,0.035,0.056,0.01,0.017,0.004,0.017,0.04,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,-0.001,0.002,0.002,-0.002
4.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.003,0.103,0.007,0.035,0.034,0.05,0.032,0.002,0.017,-0.002,0.002,0.028,0.023,0.06,0.04,0.025,0.013,0.057,0.093,0.015,0.026,-0.002,0,0.047,0.084,0.045,0.026,0.014,0.019,0.08,0.069,0.04,0.023,-0.001,-0.001,0.038,0.007,0.054,0.051,0.013,0.098,0.055,0.034,0.099,0.011,0.002,0,0.028,0.004,0.025,0.049,0.035,0.057,0.028,0.029,0.08,0.008,0.001,0,0.038,-0.001,0.038,0.036,0.058,0.012,0.018,0.005,0.025,0.016,0,-0.001,0.002,0,-0.001,-0.001,0,0,0.001,0,0.003,0.002,-0.002
4.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.003,0.105,0.005,0.019,0.022,0.046,0.036,0.002,0.032,-0.002,0.002,0.03,0.028,0.046,0.028,0.025,0.016,0.06,0.092,0.017,0.028,-0.002,0,0.044,0.084,0.046,0.03,0.017,0.018,0.08,0.071,0.046,0.035,-0.001,-0.001,0.032,0.001,0.057,0.048,0.014,0.1,0.073,0.038,0.103,0.026,0.002,0,0.029,0.003,0.026,0.047,0.036,0.057,0.036,0.038,0.082,0.018,0,0,0.041,-0.001,0.04,0.033,0.057,0.009,0.022,0.005,0.028,0.02,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,-0.001,0.003,0.002,-0.001
4.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.004,0.113,0.01,0.025,0.027,0.054,0.042,0.002,0.021,-0.002,0.002,0.032,0.034,0.057,0.034,0.026,0.016,0.068,0.087,0.025,0.037,-0.002,0,0.054,0.088,0.048,0.032,0.021,0.021,0.086,0.078,0.048,0.025,-0.001,-0.001,0.039,0.006,0.067,0.045,0.015,0.102,0.073,0.046,0.098,0.016,0.002,0,0.03,0.004,0.028,0.041,0.041,0.059,0.035,0.048,0.083,0.013,0,0,0.046,-0.001,0.043,0.038,0.063,0.008,0.021,0.006,0.019,0.019,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,0,0.002,0.002,-0.002
4.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.005,0.115,0.009,0.037,0.019,0.049,0.049,0.003,0.031,-0.002,0.002,0.034,0.039,0.058,0.056,0.028,0.015,0.071,0.111,0.033,0.032,-0.002,0,0.056,0.089,0.05,0.035,0.028,0.023,0.094,0.083,0.05,0.02,-0.001,-0.001,0.051,0.002,0.064,0.052,0.018,0.108,0.058,0.06,0.109,0.03,0.001,0,0.03,0.003,0.029,0.035,0.044,0.062,0.036,0.054,0.09,0.011,0,0,0.049,-0.001,0.046,0.044,0.066,0.009,0.025,0.006,0.026,0.021,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,-0.001,0.002,0.002,-0.002
5,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.006,0.116,0.009,0.013,0.039,0.054,0.057,0.003,0.034,-0.002,0.002,0.036,0.045,0.054,0.067,0.028,0.017,0.078,0.118,0.035,0.026,-0.002,0,0.052,0.09,0.052,0.034,0.03,0.023,0.106,0.087,0.055,0.036,-0.001,-0.002,0.036,0.002,0.067,0.048,0.02,0.109,0.068,0.072,0.111,0.069,0.002,0,0.029,0.003,0.031,0.034,0.044,0.064,0.039,0.06,0.09,0.017,0,0,0.054,-0.001,0.049,0.043,0.068,0.01,0.028,0.006,0.026,0.023,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,-0.001,0.002,0.002,-0.002
5.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,0,0,0.001,-0.002,0.001,-0.001,0.006,0.117,0.01,0.021,0.034,0.06,0.064,0.004,0.047,-0.002,0.002,0.039,0.052,0.054,0.083,0.029,0.017,0.086,0.122,0.042,0.036,-0.002,0,0.055,0.09,0.056,0.036,0.039,0.026,0.115,0.093,0.056,0.034,-0.001,-0.001,0.049,0.008,0.073,0.055,0.022,0.115,0.078,0.08,0.117,0.044,0.002,0,0.032,0.003,0.033,0.034,0.045,0.067,0.044,0.066,0.091,0.014,0,0,0.059,-0.001,0.052,0.052,0.059,0.011,0.029,0.006,0.025,0.055,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,0,0.003,0.002,-0.002
5.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.007,0.118,0.013,0.02,0.025,0.065,0.071,0.004,0.06,-0.002,0.002,0.041,0.057,0.056,0.088,0.03,0.018,0.094,0.126,0.043,0.034,-0.002,0,0.045,0.089,0.06,0.033,0.04,0.027,0.126,0.096,0.064,0.042,-0.001,-0.001,0.055,0.001,0.078,0.057,0.024,0.115,0.088,0.09,0.125,0.07,0.002,0,0.033,0.003,0.036,0.024,0.051,0.069,0.048,0.072,0.105,0.02,0,0,0.065,-0.001,0.056,0.055,0.064,0.009,0.033,0.007,0.028,0.052,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,0,0.002,0.002,-0.002
5.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.008,0.117,0.016,0.01,0.024,0.071,0.079,0.005,0.055,-0.002,0.002,0.044,0.064,0.06,0.088,0.032,0.019,0.104,0.126,0.049,0.03,-0.002,0,0.045,0.086,0.064,0.035,0.042,0.028,0.138,0.102,0.076,0.05,-0.001,-0.001,0.027,0.002,0.083,0.056,0.026,0.115,0.097,0.097,0.129,0.059,0.002,0,0.035,0.003,0.039,0.027,0.046,0.071,0.053,0.076,0.112,0.016,0,0,0.072,-0.001,0.06,0.061,0.063,0.009,0.034,0.007,0.026,0.041,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,0,0.003,0.002,-0.002
5.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0.001,0.001,-0.002,0.001,-0.001,0.009,0.12,0.017,0.019,0.036,0.078,0.089,0.005,0.066,-0.002,0.002,0.047,0.073,0.066,0.088,0.033,0.02,0.115,0.126,0.052,0.041,-0.002,0,0.066,0.084,0.068,0.041,0.048,0.027,0.15,0.11,0.083,0.078,-0.001,-0.001,0.057,0.007,0.088,0.055,0.028,0.119,0.108,0.104,0.127,0.063,0.002,0,0.031,0.003,0.042,0.029,0.051,0.073,0.059,0.082,0.118,0.032,0,0,0.084,-0.001,0.064,0.065,0.058,0.006,0.036,0.008,0.021,0.069,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,0,0.002,0.002,-0.002
6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.01,0.108,0.008,0.032,0.028,0.085,0.1,0.006,0.068,0.003,0.001,0.05,0.077,0.069,0.083,0.033,0.021,0.125,0.12,0.056,0.056,-0.002,0,0.077,0.082,0.073,0.049,0.052,0.028,0.164,0.112,0.088,0.078,-0.001,-0.001,0.064,0.002,0.095,0.054,0.03,0.125,0.107,0.109,0.125,0.043,0.002,0,0.035,0.003,0.045,0.032,0.051,0.077,0.064,0.094,0.1,0.022,0,0,0.112,-0.001,0.068,0.067,0.057,0.006,0.039,0.009,0.021,0.037,0,-0.001,0.001,0,-0.001,-0.001,0,-0.001,0,-0.001,0.002,0.002,-0.002
6.2,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.012,0.137,0.025,0.024,0.044,0.093,0.108,0.007,0.081,-0.002,0.002,0.054,0.089,0.075,0.086,0.036,0.019,0.137,0.122,0.05,0.044,-0.002,0,0.087,0.08,0.077,0.055,0.058,0.03,0.179,0.115,0.095,0.082,-0.001,-0.001,0.067,0.003,0.101,0.054,0.031,0.12,0.1,0.112,0.126,0.059,0.002,0,0.036,0.003,0.048,0.034,0.047,0.077,0.071,0.103,0.097,0.039,0,0,0.1,-0.001,0.073,0.069,0.054,0.005,0.045,0.011,0.021,0.041,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,-0.001,0.002,0.002,-0.002
6.4,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.015,0.128,0.027,0.032,0.045,0.103,0.115,0.008,0.075,-0.002,0.002,0.059,0.09,0.081,0.063,0.035,0.022,0.15,0.088,0.048,0.053,-0.002,0,0.087,0.079,0.083,0.054,0.06,0.032,0.195,0.118,0.092,0.085,-0.001,-0.001,0.059,0.006,0.109,0.05,0.033,0.125,0.109,0.096,0.123,0.064,0.002,0,0.038,0.003,0.052,0.038,0.061,0.081,0.079,0.107,0.108,0.026,0,0,0.109,-0.001,0.078,0.068,0.054,0.005,0.047,0.011,0.02,0.071,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0.001,-0.001,0.002,0.002,-0.002
6.6,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.017,0.136,0.022,0.021,0.03,0.113,0.11,0.009,0.088,-0.002,0.002,0.063,0.094,0.087,0.069,0.038,0.023,0.164,0.079,0.057,0.044,-0.002,0,0.086,0.081,0.089,0.054,0.063,0.029,0.212,0.108,0.098,0.076,-0.001,-0.001,0.053,0.002,0.117,0.03,0.035,0.085,0.084,0.11,0.119,0.053,0.002,0,0.036,0.003,0.056,0.042,0.056,0.08,0.087,0.113,0.122,0.038,0,0,0.143,-0.001,0.085,0.07,0.052,0.007,0.052,0.012,0.025,0.068,0,-0.001,0.002,0,-0.001,-0.001,0,-0.001,0,0,0.002,0.002,-0.001
6.8,-0.001,-0.001,0,0.002,0,-0.001,0,0.003,-0.001,0,0.001,-0.002,0.001,-0.001,0.02,0.109,0.025,0.026,0.038,0.123,0.102,0.01,0.087,-0.002,0.002,0.068,0.096,0.094,0.076,0.04,0.024,0.179,0.089,0.072,0.038,-0.002,0,0.086,0.082,0.095,0.045,0.063,0.033,0.23,0.103,0.111,0.07,-0.001,-0.001,0.073,0.005,0.126,0.05,0.037,0.084,0.074,0.12,0.11,0.064,0.002,0,0.037,0.003,0.06,0.046,0.052,0.087,0.096,0.117,0.127,0.033,0.001,0,0.161,-0.001,0.091,0.07,0.05,0.006,0.057,0.012,0.032,0.08,0,-0.001,0.001,0,-0.001,-0.001,0,-0.001,0,-0.001,0.002,0.002,-0.002
