Time,syn3A_1,syn3A_2,syn3A_3,syn3A_4
0,0,0,0,0
4,1.655551268,5.383839728,0,0
8,5.105318092,24.30865011,2.918610759,5.529053982
12,5.894886538,20.57222747,2.765001862,5.183452983
16,4.626943268,13.91376968,2.188783382,3.51274974
20,2.76191959,12.13991716,0.776310326,3.044738439
24,3.330299566,14.84185567,0.842853595,2.675645776
28,3.095856021,13.71091276,1.094675438,2.111900558
32,1.860767701,8.86037233,0.30249803,0.803393343
36,8.279296845,37.8026856,2.994680802,7.968267852
40,30.20215407,116.6256692,14.27670146,32.37720715
44,160.7695463,723.7992528,105.6828115,206.9602583
48,252.0798987,1205.852683,251.1567948,555.2048939
52,223.3346749,1101.78775,239.8590732,483.9446631
