Time,syn3B_1,syn3B_2,syn3B_3,syn3B_4
0,0,0,0,0
4,0,0,0,0
8,3.31679225,19.54778894,2.272158804,0
12,2.489806619,17.67710817,1.800089146,0
16,0.736080591,17.42881094,0.877491946,0
20,1.240672296,9.482720784,0.745321853,24.55870196
24,1.323985269,9.486565512,1.091696256,43.35666901
28,1.553632579,7.108712979,1.028825802,15.98137826
32,1.362655992,9.901664349,0.081105353,3.586983355
36,10.98446635,35.95377617,3.948726485,75.00995409
40,54.86516605,216.6000113,21.15122877,468.41337
44,320.0978435,1321.092178,131.5715805,3164.978608
48,272.712434,1437.34237,225.6080338,5819.901773
52,225.6595884,1230.935421,196.0503464,4622.957917
