Time,syn3B_1,syn3B_2,syn3B_3,syn3B_4
0,0,0,0,0
4,0,0,0,0
8,1.462512592,3.022753341,1.185449952,0
12,1.249846325,2.927298612,1.029651255,-0.380550116
16,0.551630038,2.913915252,0.629936815,-3.906833299
20,0.806775953,2.349728262,0.556938982,-0.665855455
24,0.8432835,2.350094963,0.737975342,-0.114570229
28,0.937516886,2.09293916,0.707457203,-1.074715952
32,0.859786406,2.38891547,0.077983992,-2.383610712
36,2.48361134,3.609667839,1.599130268,0.424031008
40,4.022941038,5.382658567,3.09789297,2.244650467
44,5.771745885,7.186970744,4.88712273,4.153384185
48,5.612078044,7.271246598,5.423221802,4.762377174
52,5.423449281,7.116341724,5.283459262,4.53217301
