Time,syn1.0_1,syn1.0_2,syn1.0_3,syn1.0_4
0,1.23606887,1.52102417,1.31204497,1.46656947
4,2.46057247,3.30624677,2.51874867,2.66737207
8,10.67700787,9.88321147,9.50860967,9.26388177
12,24.67222197,19.71128747,19.65485767,17.64534817
16,36.63974917,29.67126217,35.20134807,34.03325227
20,49.56757987,47.66394687,49.75832427,50.04232497
24,52.68425917,65.14514747,60.44809167,55.73585927
28,43.47847177,65.73910107,59.70939777,66.42617507
32,69.30063567,68.76958207,64.28591527,71.31656057
36,50.70901467,70.31609097,70.14793457,77.26035207
40,63.18563157,69.74828597,62.62500927,67.59208187
