Time,syn1.0_1,syn1.0_2,syn1.0_3,syn1.0_4
0,0,0,0,0
4,0.688457957,0.776429736,0.652175253,0.598167765
8,2.156156555,1.871453603,1.980610703,1.843197179
12,2.993741917,2.561807536,2.706737552,2.487546209
16,3.389197616,2.97079507,3.289497413,3.144412075
20,3.691400911,3.444791377,3.635590806,3.529943167
24,3.752380646,3.757233914,3.830198042,3.637697753
28,3.560329836,3.76630999,3.817902459,3.813165202
32,4.026518001,3.811377622,3.891753594,3.884202587
36,3.714167621,3.833616759,3.979019397,3.964254935
40,3.934140849,3.825508942,3.865577742,3.830564864
