Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
B2,-0.1251,2.3357,0.0054,25.444,-3.0043,0.0052,0.0057,0.0052,0.0056
B3,-0.0138,2.1358,0.0059,80.8267,-3.1181,0.0057,0.0062,0.0057,0.0061
B4,-0.0666,2.2085,0.0056,51.5211,-3.2578,0.0054,0.0058,0.0054,0.0057
B5,-0.137,2.2683,0.0057,22.3516,-3.0897,0.0055,0.0059,0.0055,0.0059
B6,-0.1036,2.2451,0.0056,30.7945,-3.3018,0.0054,0.0057,0.0054,0.0057
B7,-0.1965,2.4479,0.0053,3.2063,-2.9815,0.005,0.0056,0.0051,0.0055
C2,-0.0232,2.1458,0.006,72.0515,-3.1221,0.0058,0.0063,0.0058,0.0062
C4,0.0339,2.0628,0.0064,145.0172,-3.2757,0.0062,0.0066,0.0062,0.0066
C5,-0.0247,2.1099,0.006,75.7594,-3.0618,0.0057,0.0063,0.0058,0.0062
C6,0.006,2.0955,0.0063,83.7952,-3.3362,0.0061,0.0065,0.0062,0.0065
C7,0.0251,2.0661,0.0064,114.9182,-3.5002,0.0062,0.0066,0.0062,0.0065
D2,0.0363,2.045,0.0061,181.3912,-3.2306,0.0058,0.0063,0.0059,0.0062
D3,-0.0615,2.1698,0.0058,45.071,-3.3908,0.0056,0.006,0.0057,0.006
D4,0.0132,2.0767,0.0064,101.8625,-3.1823,0.0062,0.0067,0.0062,0.0066
D6,0.047,2.0246,0.006,225.3085,-3.5771,0.0059,0.0062,0.0059,0.0061
D7,0.0035,2.0743,0.0061,83.621,-3.3637,0.0059,0.0063,0.0059,0.0062
E2,0.0362,1.9438,0.0061,137.0148,-3.613,0.006,0.0063,0.006,0.0063
E3,0.0253,2.0315,0.0062,118.9637,-3.3192,0.0059,0.0064,0.006,0.0063
E4,-0.0123,2.0875,0.0056,80.6648,-3.3432,0.0054,0.0058,0.0054,0.0057
E5,-0.036,2.1208,0.0058,57.5206,-3.3671,0.0057,0.006,0.0057,0.006
E6,-0.0146,2.0933,0.0057,68.3641,-3.4947,0.0055,0.0058,0.0055,0.0058
